application_status,license_type,APPLICATION_CLASSIFICATION,APPROVED_LICENSE_TYPE,Approved_License_Stages,lic_status,license_number,business_name,establishment_city,establishment_state,establishment_zipcode,latitude,longitude,business_address_1,business_address_2,business_city,business_state,business_zipcode,geocoded_county,geocoded_address,mailing_address_1,mailing_address_2,mailing_city,mailing_state,mailing_zipcode,EIN_TIN,APPLICATION_NUMBER,ORIGINAL_SUBMITTED_DATE,SUBMITTED_DATE,FIRST_COMPLIANCE_REVIEW_DATE,LIC_FEE_PAYMENT_SUBMITTED_DATE,PRIORITY,FEE_WAIVER_REQUEST,FEE_WAIVER_EE_OR_SE_NUMBER,APPROVED_SOCIAL_EQUITY,EE_PRIORITY_STATUS,EE_PRIORITY_NUMBER_FROM_ACCOUNT,EE_PRIORITY_NUMBER_FROM_APPLICATION,RMD_PRIORITY_STATUS,RMD_PRIORITY_NUMBER_FROM_ACCOUNT,RMD_PRIORITY_NUMBER_FROM_APPLICATION,dbe,cultivation_environment,cultivation_tier,CNB_INITIAL_DATE_OF_REVIEW,CNB_DATE_NOTICE_SENT_TO_MUNICIPALITY,CNB_60_DAY_MUNICIPAL_DEADLINE_DATE,CNB_90_DAY_REVIEW_DEADLINE_DATE,CNB_DATE_BACKGROUND_AUTHORIZATION_SENT,CNB_DATE_BACKGROUND_REPORT_RECEIVED,CNB_FINGER_PRINT_RESULTS_RECEIVED_DATE,CNB_FINAL_APPLICATION_REVIEW,CNB_APPLICATION_RECOMMENDATION,CNB_FINAL_INSPECTION_RESULT,CNB_FINAL_LICENSE_RECOMMENDATION,cnb_dt_of_final_licensure,APPLICATION_CREATED_DATE,CNB_DEEMED_COMPLETE_DATE,APPLICATION_APPROVED_DATE,LIC_START_DATE,LIC_EXPIRATION_DATE,APPLICATION_DENIED_DATE,CCCUpdateDate,ESTABLISHMENT_ADDRESS,ESTABLISHMENT_ADDRESS_2,ESTABLISHMENT_COUNTY,PMT_AMOUNT,LIC_FEE_AMOUNT,ZIP,Town,county,county_lat,county_long,Region,ID
PENDING,Marijuana Transporter with Other Existing ME License,General Applicant,IN PROCESS,IN PROCESS,INCOMPLETE,MX281421,JMJ HOLDINGS CORPORATION,Lanesborough,,01237,,,100 State Street,9th Floor,Boston,MA,02109,POINT (-73.209889 42.396128),,100 State Street,9th Floor,Boston,MA,02109,88-2503181,MXN281421,4/14/2023 03:45:22 PM,4/14/2023 03:45:22 PM,,,,no,,,,,,,,,Not a DBE,,,,,,,,,,,,,,,4/7/2023 04:18:09 PM,,,,,,,,,,,0,01237,Lanesboro,Berkshire,42.396128,-73.209889,,109
REOPENED,Marijuana Delivery Operator Pre-Certification,Expedited Review - Social Equity Participant,IN PROCESS,IN PROCESS,INCOMPLETE,PMD5882,"Uprising Therapeutics, Inc.",N/A,,N/A,,,37 Schuyler Street,,Boston,MA,02121,,,37 Schuyler Street,,Boston,MA,02121,85-2786703,PMDA5882,6/23/2021 01:28:20 PM,6/23/2021 01:28:20 PM,7/21/2021 10:36:40 AM,,,,SE304739,,,,,,,,Not a DBE,,,,,,,,,,,,,,,6/22/2021 01:07:36 PM,,,,,,,,,,,0,,,,,,,
PENDING,Marijuana Courier Pre-Certification,Expedited Review - Social Equity Participant,IN PROCESS,IN PROCESS,INCOMPLETE,PDO103628,TZ Delivery LLC,N/A,,N/A,,,60 Damon Rd.,,Northampton,MA,01060,,,60 Damon Rd.,,Northampton,MA,01060,87-1189244,PDOA103628,12/29/2022 08:10:43 PM,1/19/2023 03:09:10 PM,1/4/2023 08:30:04 AM,,,,SE305335,SE305335,,,,,,,Not a DBE,,,,,,,,,,,,,,,12/16/2022 12:38:36 PM,1/27/2023 10:17:02 AM,,,,,,,,,,0,,,,,,,
REOPENED,Marijuana Retailer,General Applicant,IN PROCESS,IN PROCESS,INCOMPLETE,MR283186,Emerald River LLC,Maynard,,01754,,,127 Saint Kolbe Dr,,Holyoke,MA,01040,POINT (-71.275566 42.459085),,127 Saint Kolbe Dr,,Holyoke,MA,01040,84-2206309,MRN283186,12/17/2019 12:49:20 PM,12/17/2019 12:49:20 PM,3/20/2020 12:00:00 AM,,,,,SE304495,,,,,,,Not a DBE,,,,,,,,,,,,,,,12/16/2019 10:07:28 PM,,,,,,,,,,,0,01754,Maynard,Middlesex,42.459085,-71.275566,Central MA,282
REOPENED,Marijuana Cultivator,Expedited Review - DBE Status,IN PROCESS,IN PROCESS,INCOMPLETE,MC283340,Budding Botanicals LLC,Hardwick,,01037,,,664 North Road,#48,Hardwick,MA,01037,POINT (-71.840209 42.329642),,PO Box 48,,Hardwick,MA,01037,86-2099894,MCN283340,9/14/2021 05:49:53 PM,9/14/2021 05:49:53 PM,9/21/2021 10:27:12 AM,,,no,,,,,,,,,"Lesbian, Gay, Bisexual, and Transgender Owned Business",Indoor,"Tier 02: 5,001 to 10,000 sq. ft.",,,,,,,,,,,,,2/3/2021 12:03:06 PM,,,,,,,,,,,0,01037,Hardwick,Worcester,42.329642,-71.840209,Central MA,28
REOPENED,Independent Testing Laboratory,Expedited Review - License Type,IN PROCESS,IN PROCESS,INCOMPLETE,IL281308,Toxikon Corporation,Bedford,,01730,,,15 Wiggins Avenue,,Bedford,MA,01730,POINT (-71.275566 42.459085),,15 Wiggins Avnue,,Bedford,MA,01730,04-2772180,ILN281308,3/13/2019 02:37:57 PM,10/11/2019 09:43:33 AM,10/3/2019 12:00:00 AM,,,,,,,,,,,,Not a DBE,,,,,,,,,,,,,,,2/12/2019 11:30:06 AM,,,,,,,,,,,0,01730,Bedford,Middlesex,42.459085,-71.275566,Northeast,271
REOPENED,Marijuana Retailer,Priority Review - MTC Priority,IN PROCESS,IN PROCESS,INCOMPLETE,MR284026,"JO Gardner, Inc.",Gardner,,01440,,,110 Turnpike Road,Suite 114,Westborough,MA,01581,POINT (-71.840209 42.329642),,110 Turnpike Road,Suite 114,Westborough,MA,01581,92-2665351,MRN284026,2/24/2021 11:12:22 PM,2/24/2021 11:12:22 PM,3/1/2021 01:52:45 PM,,,no,,,,,,,,,Not a DBE,,,,,,,,,,,,,,,1/13/2021 08:09:29 AM,,,,,,,,,,,0,01440,Gardner,Worcester,42.329642,-71.840209,Central MA,170
PENDING,Marijuana Product Manufacturer,Expedited Review - Social Equity Participant,IN PROCESS,IN PROCESS,INCOMPLETE,MP282117,Green Speed Delivery Inc,Athol,,01331,,,41 Exchange Street,,Athol,MA,01331,POINT (-71.840209 42.329642),,226 South Main Street,,Fall River,MA,02721,87-0930605,MPN282117,2/28/2022 07:15:53 PM,11/1/2022 10:40:45 AM,3/22/2022 10:29:42 AM,,,yes,SE305147,SE305147,,,,,,,Not a DBE,,,,,,,,,,,,,,,8/25/2021 11:14:53 AM,,,,,,,,,,,0,01331,Athol,Worcester,42.329642,-71.840209,Western MA,135
REOPENED,Marijuana Delivery Operator Pre-Certification,Expedited Review - Social Equity Participant,IN PROCESS,IN PROCESS,INCOMPLETE,PMD5907,Kindly Delivery LLC,N/A,,N/A,,,86 Swan St.,,Medford,MA,02155,,,2 Pine St,,Bedford,MA,01730,85-0630551,PMDA5907,4/6/2023 12:36:25 PM,4/6/2023 12:36:25 PM,4/6/2023 11:36:26 AM,,,,SE303555,SE303555,,,,,,,Not a DBE,,,,,,,,,,,,,,,8/10/2021 12:00:18 PM,,,,,,,,,,,0,,,,,,,
REOPENED,Marijuana Retailer,Expedited Review - Social Equity Participant,IN PROCESS,IN PROCESS,INCOMPLETE,MR284420,The Green Guild Inc.,Northampton,,01060,,,285 N King St,,Northampton,MA,01060,POINT (-72.62073 42.322256),,285 N King St,,Northampton,MA,01060,86-3608097,MRN284420,11/18/2021 08:53:54 AM,11/18/2021 08:53:54 AM,11/29/2021 03:05:22 PM,,,yes,SE305166,SE305166,,,,,,,Not a DBE,,,,,,,,,,,,,,,9/20/2021 02:01:48 AM,,,,,,,,,,,0,01060,Northampton,Hampshire,42.322256,-72.62073,Western MA,39
