SaleDate,ProductCategoryName,Units,UnitOfMeasureName,TotalPrice,CountBasedTotal,DollarCountBasedTotal,WeightBasedTotal,DollarWeightBasedTotal,Quantity,CCC Last Updated
2/12/2019,Shake/Trim (by strain),247,Grams,7241.4,0,0,593.5,7241.4,593.5,4/24/2023
12/1/2021,Infused (non-edible),310,Each,14037.14,352,14037.14,0,0,352,4/24/2023
6/2/2019,Buds,6,Kilograms,138,0,0,0,138,0,4/24/2023
9/11/2022,Buds,31622,Grams,1459029.04,0,0,155975.03,1459029.04,155975.03,4/24/2023
3/22/2021,Kief,105,Grams,3265.33,0,0,165.3,3265.33,165.3,4/24/2023
1/19/2022,Infused Pre-Rolls,971,Grams,31459.69,0,0,1149.81,31459.69,1149.81,4/24/2023
6/5/2021,Shake/Trim,5,Grams,295.17,0,0,31.25,295.17,31.25,4/24/2023
10/3/2021,Buds,27581,Grams,1493787.33,0,0,109753.79,1493787.33,109753.79,4/24/2023
1/18/2021,Shake/Trim,10,Grams,434.17,0,0,25,434.17,25,4/24/2023
7/18/2020,Concentrate (Each),2834,Each,169621.24,3194,169621.24,0,0,3194,4/24/2023
9/24/2021,Concentrate (Each),6020,Each,352702.97,6676,352702.97,0,0,6676,4/24/2023
2/19/2022,Suppository,2,Each,200,2,200,0,0,2,4/24/2023
10/21/2021,Shake/Trim,58,Grams,4035.06,0,0,644.4,4035.06,644.4,4/24/2023
2/11/2021,Shake/Trim (by strain),406,Grams,16242.6,0,0,1939.75,16242.6,1939.75,4/24/2023
8/13/2021,Shake/Trim,217,Grams,3882.04,0,0,580,3882.04,580,4/24/2023
3/12/2023,Concentrate (Each),4666,Each,213681.56,,213681.56,0,0,5312,4/24/2023
4/5/2021,Shake/Trim,5,Grams,75,0,0,5,75,5,4/24/2023
3/8/2022,Shake/Trim,65,Grams,3342,0,0,371,3342,371,4/24/2023
2/4/2022,Concentrate,2,Milligrams,120,0,0,1500,120,1500,4/24/2023
11/19/2019,Buds,14847,Grams,643990.89,0,0,44421.37,643990.89,44421.37,4/24/2023
5/31/2022,Shake/Trim (by strain),1418,Grams,59233.18,0,0,9713.15,59233.18,9713.15,4/24/2023
11/18/2020,Shake/Trim,24,Grams,795,0,0,30,795,30,4/24/2023
5/26/2020,Kief,128,Grams,3466.52,0,0,137,3466.52,137,4/24/2023
10/5/2019,Shake/Trim (by strain),365,Grams,7130.3,0,0,482.5,7130.3,482.5,4/24/2023
3/21/2023,Kief,90,Grams,2578.61,,0,119.76,2578.61,119.76,4/24/2023
9/4/2022,Concentrate (Bulk),22,Grams,1848,0,0,14.59,1848,14.59,4/24/2023
12/29/2021,Shake/Trim,9,Grams,525,0,0,48,525,48,4/24/2023
10/25/2022,Raw Pre-Rolls,1,Milligrams,18,0,0,1000,18,1000,4/24/2023
6/29/2020,Concentrate (Each),2105,Each,128826.52,2421,128826.52,0,0,2421,4/24/2023
3/24/2022,Kief,167,Grams,5263.91,0,0,186.5,5263.91,186.5,4/24/2023
2/2/2022,Vape Product,12830,Each,773530.77,14256,773530.77,0,0,14256,4/24/2023
7/14/2021,Vape Product,12343,Each,749815.99,13870,749815.99,0,0,13870,4/24/2023
8/11/2020,Buds,20819,Grams,1128776.3,0,0,78260.63,1128776.3,78260.63,4/24/2023
2/13/2019,Shake/Trim (by strain),247,Grams,8537.52,0,0,669,8537.52,669,4/24/2023
10/5/2021,Concentrate (Each),3679,Each,208631.58,4041,208631.58,0,0,4041,4/24/2023
12/16/2018,Buds,638,Each,12335.81,1469,12335.81,0,0,1469,4/24/2023
11/3/2020,Buds,21694,Grams,1123090.98,0,0,78688.53,1123090.98,78688.53,4/24/2023
1/26/2022,Kief,148,Grams,4353.28,0,0,163.1,4353.28,163.1,4/24/2023
3/2/2021,Vape Product,7589,Each,483128.54,8577,483128.54,0,0,8577,4/24/2023
11/25/2021,Vape Product,960,Each,51032.57,1025,51032.57,0,0,1025,4/24/2023
12/19/2020,Vape Product,10794,Each,707176.81,12488,707176.81,0,0,12488,4/24/2023
7/27/2022,Concentrate (Bulk),9,Grams,510,0,0,9.59,510,9.59,4/24/2023
2/10/2023,Infused Pre-Rolls,5,Milligrams,122.5,0,0,3200,122.5,3200,4/24/2023
2/7/2023,Concentrate (Each),3889,Each,172522.88,4508,172522.88,0,0,4508,4/24/2023
6/25/2022,Shake/Trim (by strain),1515,Grams,62062.5,0,0,10604.9,62062.5,10604.9,4/24/2023
12/4/2021,Infused (non-edible),548,Each,24624.04,635,24624.04,0,0,635,4/24/2023
9/18/2022,Infused Pre-Rolls,11,Milligrams,293.96,0,0,14900,293.96,14900,4/24/2023
12/22/2020,Shake/Trim (by strain),392,Grams,10239.84,0,0,1043.75,10239.84,1043.75,4/24/2023
4/8/2023,Infused (non-edible),348,Each,14731.06,,14731.06,0,0,440,4/24/2023
9/21/2021,Vape Product,10320,Each,642126.86,11546,642126.86,0,0,11546,4/24/2023
5/2/2021,Vape Product,9427,Each,615780.05,10771,615780.05,0,0,10771,4/24/2023
2/21/2022,Infused Pre-Rolls,898,Grams,30606.31,0,0,1020.04,30606.31,1020.04,4/24/2023
11/17/2019,Shake/Trim (by strain),398,Grams,7578.75,0,0,514,7578.75,514,4/24/2023
2/5/2022,Concentrate,3,Milligrams,240,0,0,3000,240,3000,4/24/2023
10/19/2020,Vape Product,5921,Each,393061.01,6835,393061.01,0,0,6835,4/24/2023
9/24/2019,Shake/Trim (by strain),262,Grams,5586.35,0,0,378.5,5586.35,378.5,4/24/2023
5/9/2019,Buds,12926,Grams,498659.2,0,0,35690.81,498659.2,35690.81,4/24/2023
12/27/2019,Raw Pre-Rolls,10559,Grams,200642.77,0,0,12757.3,200642.77,12757.3,4/24/2023
4/18/2023,Shake/Trim,1068,Grams,49226.76,,0,14127.5,49226.76,14127.5,4/24/2023
8/19/2020,Raw Pre-Rolls,11955,Grams,241303.04,0,0,15560.12,241303.04,15560.12,4/24/2023
9/7/2020,Infused (edible),8111,Each,287652,10319,287652,0,0,10319,4/24/2023
8/15/2019,Raw Pre-Rolls,2886,Grams,63221.31,0,0,3965,63221.31,3965,4/24/2023
2/19/2020,Infused (edible),6169,Each,236077.68,8128,236077.68,0,0,8128,4/24/2023
4/1/2023,Suppository,1,Each,35,,35,0,0,1,4/24/2023
10/29/2022,Buds,16,Pounds,1253.89,0,0,0.2,1253.89,0.2,4/24/2023
3/22/2023,Immature Plants,5,Each,0.15,,0.15,0,0,15,4/24/2023
6/7/2019,Raw Pre-Rolls,1420,Grams,32951.84,0,0,2135.5,32951.84,2135.5,4/24/2023
4/16/2023,Kief,119,Grams,2792.9,,0,134,2792.9,134,4/24/2023
6/19/2020,Raw Pre-Rolls,9374,Grams,198399.75,0,0,12829.01,198399.75,12829.01,4/24/2023
5/26/2022,Shake/Trim,44,Grams,3122.23,0,0,596.5,3122.23,596.5,4/24/2023
3/20/2022,Shake/Trim,34,Grams,2300,0,0,366.3,2300,366.3,4/24/2023
8/19/2020,Infused Pre-Rolls,408,Grams,11296,0,0,437.3,11296,437.3,4/24/2023
4/19/2019,Concentrate,120,Grams,7632.32,0,0,119.5,7632.32,119.5,4/24/2023
1/28/2019,Shake/Trim (by strain),64,Each,1029,69,1029,0,0,69,4/24/2023
10/23/2022,Immature Plants,18,Each,730,23,730,0,0,23,4/24/2023
5/27/2019,Infused (edible),3507,Each,124728.66,4563,124728.66,0,0,4563,4/24/2023
2/18/2023,Shake/Trim,1015,Grams,47352.69,0,0,14790.5,47352.69,14790.5,4/24/2023
12/6/2019,Infused (edible),8653,Each,341107.07,11492,341107.07,0,0,11492,4/24/2023
8/17/2022,Immature Plants,14,Each,330,25,330,0,0,25,4/24/2023
2/17/2019,Concentrate,33,Grams,3015.6,0,0,36,3015.6,36,4/24/2023
12/18/2021,Concentrate (Each),5108,Each,293640.46,5764,293640.46,0,0,5764,4/24/2023
8/27/2021,Raw Pre-Rolls,4,Pounds,64,0,0,0,64,0,4/24/2023
7/16/2022,Shake/Trim,139,Grams,10179.78,0,0,1891.5,10179.78,1891.5,4/24/2023
5/28/2022,Buds,38361,Grams,1878412.59,0,0,176036.63,1878412.59,176036.63,4/24/2023
4/22/2022,Raw Pre-Rolls,8,Milligrams,233.28,0,0,16000,233.28,16000,4/24/2023
8/22/2022,Shake/Trim (by strain),1564,Grams,51510.62,0,0,8013.8,51510.62,8013.8,4/24/2023
12/22/2018,Concentrate,5,Grams,3452.69,0,0,49,3452.69,49,4/24/2023
7/7/2020,Kief,132,Grams,3897.78,0,0,141.26,3897.78,141.26,4/24/2023
4/2/2023,Concentrate (Each),4239,Each,192706.67,,192706.67,0,0,4941,4/24/2023
12/26/2020,Kief,172,Grams,5506.8,0,0,199,5506.8,199,4/24/2023
7/25/2019,Infused (edible),4984,Each,193691.8,7277,193691.8,0,0,7339.04,4/24/2023
1/24/2023,Infused (non-edible),144,Each,6597.58,207,6597.58,0,0,207,4/24/2023
2/6/2020,Raw Pre-Rolls,8296,Grams,163373.23,0,0,10485.44,163373.23,10485.44,4/24/2023
