SoldDate,AverageRetailPriceOz,AverageRetailPriceGm
12/2/2020,300.79,10.61
2/24/2023,175.48,6.19
1/4/2019,285.76,10.08
1/21/2022,267.05,9.42
11/4/2022,189.66,6.69
6/19/2021,301.64,10.64
5/19/2019,309.01,10.9
9/23/2021,287.46,10.14
1/25/2020,313.26,11.05
1/8/2023,182.85,6.45
5/18/2019,316.66,11.17
1/5/2021,302.49,10.67
10/2/2020,310.43,10.95
3/9/2020,306.46,10.81
3/6/2019,272.44,9.61
7/30/2021,299.09,10.55
4/13/2020,303.34,10.7
9/11/2020,295.69,10.43
3/15/2019,307.59,10.85
8/23/2021,296.25,10.45
8/5/2021,296.54,10.46
11/16/2021,291.72,10.29
12/8/2022,182.57,6.44
7/27/2021,302.77,10.68
10/17/2021,290.58,10.25
9/24/2021,278.39,9.82
4/19/2022,219.71,7.75
12/19/2019,299.65,10.57
4/26/2021,287.46,10.14
4/26/2019,314.4,11.09
6/26/2019,278.68,9.83
3/1/2023,172.36,6.08
2/17/2020,313.83,11.07
11/30/2020,282.36,9.96
8/26/2020,311.28,10.98
2/4/2021,301.36,10.63
2/1/2021,308.44,10.88
4/15/2022,228.78,8.07
11/22/2020,299.65,10.57
7/8/2020,315.53,11.13
5/1/2019,307.03,10.83
12/15/2018,294.83,10.4
8/4/2019,294.83,10.4
11/17/2021,286.33,10.1
1/11/2021,286.9,10.12
3/16/2022,249.76,8.81
9/21/2019,295.97,10.44
9/15/2019,297.1,10.48
1/22/2020,308.44,10.88
2/6/2020,309.29,10.91
7/18/2020,307.03,10.83
12/6/2021,272.44,9.61
10/3/2021,288.31,10.17
1/18/2019,293.13,10.34
8/25/2020,314.96,11.11
4/25/2021,300.22,10.59
5/25/2019,296.25,10.45
4/5/2020,306.46,10.81
2/4/2019,284.91,10.05
1/23/2022,270.45,9.54
4/18/2021,288.31,10.17
3/28/2019,301.64,10.64
12/26/2020,301.92,10.65
1/14/2021,312.13,11.01
8/28/2021,295.4,10.42
12/3/2019,297.39,10.49
9/23/2022,194.19,6.85
1/26/2023,183.14,6.46
3/20/2019,310.99,10.97
9/7/2021,296.82,10.47
6/13/2020,305.61,10.78
3/18/2020,301.92,10.65
12/9/2019,304.47,10.74
2/9/2022,273.01,9.63
6/8/2020,311.56,10.99
6/22/2022,225.66,7.96
10/31/2019,294.55,10.39
3/28/2022,257.41,9.08
10/22/2021,288.03,10.16
8/31/2020,309.01,10.9
9/28/2020,307.31,10.84
6/22/2019,292,10.3
6/23/2021,291.43,10.28
10/17/2022,199.01,7.02
1/15/2021,306.74,10.82
9/9/2022,199.58,7.04
8/10/2022,212.9,7.51
3/19/2023,169.81,5.99
7/9/2021,296.54,10.46
9/25/2019,294.27,10.38
7/13/2019,283.21,9.99
5/8/2022,242.96,8.57
3/31/2022,238.7,8.42
1/27/2020,306.17,10.8
8/20/2021,300.5,10.6
8/19/2019,295.97,10.44
3/6/2020,305.04,10.76
10/6/2022,197.88,6.98
6/9/2022,224.24,7.91
12/9/2021,262.52,9.26
2/12/2022,264.78,9.34
8/17/2022,208.09,7.34
10/14/2021,281.23,9.92
1/17/2021,301.36,10.63
4/20/2020,278.96,9.84
12/27/2019,300.5,10.6
4/6/2021,300.5,10.6
2/15/2019,305.32,10.77
5/9/2020,310.99,10.97
11/24/2021,275.56,9.72
3/24/2019,322.33,11.37
12/6/2018,275.27,9.71
6/30/2019,268.47,9.47
4/12/2019,313.55,11.06
12/18/2018,298.8,10.54
4/1/2019,266.77,9.41
1/22/2021,306.17,10.8
2/8/2021,304.47,10.74
