SALE_PERIOD,TOTAL_$,PRODUCT_CATEGORY,UNIT_OF_MEASURE,TOTAL_UNITS,CCC Last Updated,CountBasedTotal,DollarCountBasedTotal,DollarWeightBasedTotal,Quantity,WeightBasedTotal
2023-04-23,2130.86,Concentrate (Each),Each,58,4/24/2023,,2130.86,0,59,0
2023-04-19,1668,Shake/Trim (by strain),Grams,39,4/24/2023,,0,1668,546,546
2018-11-20 -2023-04-16,90845.59,Shake/Trim (by strain),Grams,2702,4/24/2023,0,0,90845.59,16151,16151
2023-04-19,6977.62,Raw Pre-Rolls,Grams,493,4/24/2023,,0,6977.62,654.25,654.25
2023-04-21,86,Infused Pre-Rolls,Grams,3,4/24/2023,,0,86,2.95,2.95
2023-04-19,7937.49,Buds,Grams,264,4/24/2023,,0,7937.49,1484.5,1484.5
2023-04-21,3.52,Infused Beverage,Each,1,4/24/2023,,3.52,0,1,0
2023-04-19,453,Raw Pre-Rolls,Grams,47,4/24/2023,,0,453,42.5,42.5
2023-04-22,6868.91,Buds,Grams,153,4/24/2023,,0,6868.91,749,749
2018-11-20 -2023-04-16,26946.78,Shake/Trim,Grams,699,4/24/2023,0,0,26946.78,5607,5607
2023-04-21,2547,Infused (edible),Each,65,4/24/2023,,2547,0,91,0
2023-04-18,3308.01,Infused (edible),Each,144,4/24/2023,,3308.01,0,236,0
2023-04-17,64,Shake/Trim,Grams,2,4/24/2023,,0,64,14,14
2023-04-17,70,Infused (non-edible),Each,1,4/24/2023,,70,0,1,0
2023-04-17,17330,Buds,Grams,406,4/24/2023,,0,17330,2137.5,2137.5
2023-04-20,3136.98,Infused (edible),Each,217,4/24/2023,,3136.98,0,251,0
2023-04-19,127.5,Concentrate (Bulk),Grams,2,4/24/2023,,0,127.5,3,3
2018-11-20 -2023-04-16,200859.46,Infused (edible),Each,10560,4/24/2023,11140,200859.46,0,13190,0
2018-11-20 -2023-04-16,58833.07,Infused Pre-Rolls,Grams,1784,4/24/2023,0,0,58833.07,2817,2817
2023-04-17,10456.28,Buds,Grams,377,4/24/2023,,0,10456.28,1444,1444
2023-04-19,165.86,Infused Pre-Rolls,Grams,19,4/24/2023,,0,165.86,20.6,20.6
2023-04-20,216,Infused Beverage,Each,19,4/24/2023,,216,0,28,0
2023-04-20,62.51,Infused Beverage,Each,13,4/24/2023,,62.51,0,13,0
2023-04-23,2261.8,Raw Pre-Rolls,Grams,215,4/24/2023,,0,2261.8,270.8,270.8
2023-04-18,190,Infused (edible),Each,9,4/24/2023,,190,0,10,0
2018-11-20 -2023-04-16,93865.62,Infused (non-edible),Each,1874,4/24/2023,2074,93865.62,0,2131,0
2023-04-17,2166,Raw Pre-Rolls,Grams,169,4/24/2023,,0,2166,226.5,226.5
2023-04-22,2778.62,Raw Pre-Rolls,Grams,115,4/24/2023,,0,2778.62,390,390
2023-04-19,112,Infused Beverage,Each,11,4/24/2023,,112,0,16,0
2023-04-19,46,Infused Beverage,Each,2,4/24/2023,,46,0,2,0
2023-04-18,236,Raw Pre-Rolls,Grams,23,4/24/2023,,0,236,37.5,37.5
2018-11-20 -2023-04-16,108716.26,Shake/Trim (by strain),Grams,3359,4/24/2023,0,0,108716.26,30121,30121
2023-04-17,2605,Vape Product,Each,75,4/24/2023,,2605,0,108,0
2018-11-20 -2023-04-16,30725,Shake/Trim,Grams,620,4/24/2023,0,0,30725,8414,8414
2023-04-23,853.5,Buds,Grams,29,4/24/2023,,0,853.5,120.5,120.5
2023-04-21,954.04,Infused Pre-Rolls,Grams,49,4/24/2023,,0,954.04,50.6,50.6
2018-11-20 -2023-04-16,1317.49,Infused Beverage,Each,127,4/24/2023,181,1317.49,0,218,0
2023-04-18,1037.25,Buds,Grams,26,4/24/2023,,0,1037.25,100.5,100.5
2018-11-20 -2023-04-16,79143.09,Concentrate (Each),Each,1748,4/24/2023,2271,79143.09,0,2271,0
2018-11-20 -2023-04-16,430536.79,Kief,Grams,15953,4/24/2023,0,0,430536.79,18067,18067
2023-04-19,332,Infused Pre-Rolls,Grams,11,4/24/2023,,0,332,7.7,7.7
2023-04-23,834,Buds,Grams,22,4/24/2023,,0,834,87.5,87.5
2023-04-18,40.62,Infused (non-edible),Each,2,4/24/2023,,40.62,0,2,0
2018-11-20 -2023-04-16,28611.83,Infused (non-edible),Each,980,4/24/2023,1059,28611.83,0,1137,0
2023-04-18,4796.45,Vape Product,Each,101,4/24/2023,,4796.45,0,114,0
2023-04-17,2802.65,Infused (edible),Each,93,4/24/2023,,2802.65,0,127,0
2023-04-21,4309,Infused (edible),Each,125,4/24/2023,,4309,0,186,0
2023-04-22,3951,Shake/Trim,Grams,109,4/24/2023,,0,3951,1142,1142
2023-04-21,12641.98,Vape Product,Each,370,4/24/2023,,12641.98,0,391,0
2023-04-20,7873.3,Buds,Grams,164,4/24/2023,,0,7873.3,1131,1131
2023-04-23,135,Infused Pre-Rolls,Grams,4,4/24/2023,,0,135,6.5,6.5
2023-04-18,1477,Raw Pre-Rolls,Grams,69,4/24/2023,,0,1477,216.5,216.5
2023-04-20,252,Infused Beverage,Each,19,4/24/2023,,252,0,45,0
2023-04-22,860,Infused Pre-Rolls,Grams,31,4/24/2023,,0,860,42.4,42.4
2023-04-21,12528.52,Buds,Grams,559,4/24/2023,,0,12528.52,3073,3073
2023-04-19,3145.48,Buds,Grams,50,4/24/2023,,0,3145.48,298.5,298.5
2023-04-22,2432.5,Infused (edible),Each,183,4/24/2023,,2432.5,0,217,0
2023-04-19,109.06,Infused Beverage,Each,7,4/24/2023,,109.06,0,16,0
2023-04-23,5008,Infused (edible),Each,185,4/24/2023,,5008,0,222,0
2018-11-20 -2023-04-16,153004.63,Raw Pre-Rolls,Grams,9750,4/24/2023,0,0,153004.63,13833.5,13833.5
2023-04-23,600,Shake/Trim (by strain),Grams,10,4/24/2023,,0,600,105,105
2018-11-20 -2023-04-16,1001,Concentrate (Bulk),Grams,27,4/24/2023,0,0,1001,29,29
