ActivitySummaryDate,EmployeeCount,HarvestActiveCount,PackageActiveCount,PlantBatchCount,PlantImmatureCount,PlantTrackedCount,PlantVegetativeCount,PlantFloweringCount,PlantHarvestedCount,PlantDestroyedCount,ProductActiveCount,StrainActiveCount
8/10/2022,12886,2081,286406,5385,228016,405304,141867,263437,2115336,562182,277760,69495
4/29/2022,11932,1474,255806,4726,146114,252052,107390,144662,1802236,461842,257476,59134
6/21/2022,12563,1739,264811,5649,362402,300493,116786,183707,1927755,510819,261387,63627
9/18/2022,13029,2221,297696,5123,228766,350186,105865,244321,2278941,599933,289841,73960
4/16/2023,14093,2972,410859,6569,192772,267333,102122,165211,2833190,817878,345677,101196
4/22/2022,11846,1478,251738,3938,150907,246287,105189,141098,1785099,454121,255933,58169
7/20/2022,12782,1875,274549,5438,299731,397854,139147,258707,2003700,540147,269426,67716
8/20/2022,12891,2161,289012,5492,235738,372674,129490,243184,2174410,573796,281383,70889
3/22/2022,11272,1394,232786,4132,133712,238540,92363,146177,1706314,430518,248484,54946
9/8/2022,13012,2162,294321,5111,225665,353913,116450,237463,2250383,592468,285430,73414
4/8/2022,11495,1442,246630,3671,136226,242531,101875,140656,1751406,443674,253032,56474
3/18/2019,1443,109,8597,261,13944,37464,13688,23776,20486,6181,14421,2829
12/19/2018,351,3,2596,268,8792,15457,7792,7665,459,70,6666,1098
1/2/2019,440,54,3815,102,3254,15319,7545,7774,3207,1232,7119,1285
4/17/2019,1830,302,16574,530,27045,68420,24226,44194,34750,9363,25479,3599
12/19/2022,13895,2980,338361,4585,164564,257996,95305,162691,2584443,719779,307350,85456
5/27/2022,12374,1565,262790,6043,365169,274295,109665,164630,1863680,488313,255207,61514
10/25/2022,13612,2560,318803,4189,191156,314991,102940,212051,2421798,639756,287834,77286
4/10/2022,11496,1433,243283,3662,137499,242247,100489,141758,1752187,443822,253097,56483
7/24/2022,12777,1935,275442,5217,270251,403565,135806,267759,2016320,543546,270132,67897
6/22/2022,12575,1754,264403,6144,370802,301039,119122,181917,1930314,512326,261944,63714
9/17/2022,13030,2220,299298,5121,226847,350629,105894,244735,2278514,599378,289796,73959
4/15/2023,14098,2970,413474,6550,192460,267494,103152,164342,2833062,817677,345614,101122
6/9/2021,8434,1280,133290,3065,119054,242968,122071,120897,977665,234931,157159,30874
1/1/2020,3694,507,41405,763,44466,94580,39950,54630,260556,74159,59059,9807
8/3/2019,2700,509,30418,681,29273,91239,36835,54404,118686,33067,38265,6244
1/1/2022,10590,1698,209679,3579,126838,214454,74125,140329,1527454,377879,217635,47983
7/16/2021,8718,1275,150867,3303,117683,250912,111753,139159,1050632,265513,163169,34049
7/25/2020,4890,791,74578,1733,74945,129061,65246,63815,509583,134761,74698,14044
12/22/2020,6252,1046,114526,1704,74759,143339,55788,87551,708437,172490,121957,19911
2/25/2020,4254,566,57511,1254,63881,111280,44969,66311,312174,91545,61711,11217
6/27/2019,2263,450,26961,613,34020,82735,37191,45544,90056,22234,32907,5505
5/26/2020,4329,823,57208,1921,89541,118360,51884,66476,421914,117941,68162,12668
1/20/2022,10670,1466,217296,3346,124247,217215,81415,135800,1574112,389239,227768,48928
2/20/2021,6969,1155,104768,2104,90816,168787,66441,102346,794119,188678,135172,22467
10/10/2019,3161,559,39151,683,24534,96414,34524,61890,179048,50607,44940,7546
9/8/2020,5266,761,73386,2011,79704,131317,53432,77885,561079,143900,84036,15491
11/25/2020,6108,1073,103249,1518,67743,148140,58807,89333,670071,165682,111004,18784
10/25/2021,9948,2067,171647,3170,120382,226443,86694,139749,1370521,341665,183099,42174
3/13/2019,1437,91,7920,225,13615,37583,14551,23032,18639,6055,13672,2693
9/3/2021,9323,1499,170735,3111,119154,317938,138541,179397,1155982,308918,171657,37727
6/15/2019,2039,501,24918,478,26204,81821,36737,45084,81773,19245,32262,5406
2/17/2022,10851,1326,238677,3262,134802,215004,77545,137459,1636815,409073,237407,51123
11/15/2019,3476,503,33151,2037,44231,82953,33055,49898,216001,64551,48880,8423
11/5/2020,5936,1129,93440,1873,78787,133547,54047,79500,647904,160986,99749,17814
4/21/2021,7641,1123,143605,3320,108253,171863,63441,108422,890396,213556,142845,27363
4/12/2020,4311,498,48218,1542,64023,119630,50325,69305,366595,105463,64517,12297
9/12/2020,5306,748,74751,1928,75897,134297,54603,79694,566458,144896,84749,15589
5/16/2022,12249,1524,254438,7322,326064,260829,101654,159175,1838010,473420,252052,60586
12/12/2022,13832,2921,332702,4888,163659,266491,93508,172983,2559805,710621,301550,83353
11/1/2022,13678,2663,320475,3998,186282,303419,98530,204889,2445316,649698,289217,77800
3/2/2021,7097,1201,109929,2542,89970,161743,59831,101912,811516,193771,136794,23069
2/3/2022,10818,1437,229403,3467,131203,206211,79640,126571,1609031,402625,233209,50623
10/23/2021,9952,2071,172411,3056,118510,228089,88100,139989,1365616,340968,178434,41481
11/19/2020,6065,1118,99776,1521,71017,146168,59890,86278,662030,164313,108458,18568
8/29/2020,5207,759,72276,1968,79676,133955,59377,74578,550196,141958,82181,15290
6/1/2020,4357,772,59707,1772,94705,115926,51638,64288,429893,119271,68933,12778
9/26/2019,3064,643,37029,1195,28828,90902,33053,57849,169794,46716,44069,7309
6/29/2019,2295,409,26889,649,35556,81608,35752,45856,90989,22662,32973,5516
9/13/2022,13008,2211,294958,5093,222489,353287,109387,243900,2263833,595935,287805,73624
3/30/2022,11411,1442,237288,3891,138999,232871,89938,142933,1732018,435514,250297,55612
8/22/2020,5111,753,70693,1619,74300,130700,56176,74524,542945,140079,81284,15057
10/8/2021,9796,1837,172345,2907,129263,259989,88518,171471,1301062,332338,174600,40226
5/11/2020,4231,729,50570,2569,85418,118566,52453,66113,404912,113121,68914,12409
10/25/2019,3297,416,32206,1189,31468,89355,31159,58196,195869,56142,45852,7665
1/5/2022,10645,1610,210106,3291,127606,217560,80294,137266,1537473,380126,218450,48158
12/10/2020,6194,1017,109098,1600,69173,142173,56637,85536,693658,169468,117561,19310
7/14/2019,2436,526,26807,699,25393,85770,33480,52290,101892,27247,33855,5723
3/9/2021,7209,1160,113667,2616,87261,166908,63740,103168,819843,197421,133853,23729
4/24/2022,11841,1473,247839,3987,151834,245607,104722,140885,1785562,454394,255997,58257
7/22/2022,12791,1923,278813,5246,277279,404761,136221,268540,2015373,542095,270036,67868
8/26/2022,12921,2232,293520,4726,225903,378501,126740,251761,2195989,579109,282820,72139
3/12/2022,11147,1425,236451,4564,169578,226011,85072,140939,1684871,422537,246819,53827
10/24/2018,44,0,364,0,0,0,0,0,0,0,314,73
2/6/2019,908,99,6393,191,7541,25990,14115,11875,9677,4251,8779,1954
8/10/2021,9051,1405,162979,2969,129668,272635,139332,133303,1104684,291157,166785,36167
12/25/2019,3690,516,41048,1070,48233,90009,38029,51980,255292,72282,58522,9715
3/3/2020,4317,591,59763,1484,66871,113890,44406,69484,319167,93087,61766,11348
11/5/2021,10055,2018,184200,3772,118665,217382,74939,142443,1400152,350778,192070,43159
9/11/2019,2978,689,32942,588,30801,88712,30745,57967,154021,41877,42902,7147
6/16/2020,4474,910,64253,1904,81991,130689,57773,72916,449780,123095,70299,13206
2/17/2021,6984,1140,102356,2015,84091,165615,66076,99539,790981,188158,134700,22324
5/15/2021,7944,1180,154778,3257,157446,187604,77163,110441,929959,221414,149136,29018
6/19/2022,12544,1699,262823,5784,372946,291439,117491,173948,1918290,509354,260882,63490
10/2/2022,13212,1981,303385,4849,223403,341491,110900,230591,2326815,618215,297804,75329
2/24/2019,1129,93,5989,189,7808,27898,15359,12539,12943,5006,10626,2440
10/16/2022,13451,2383,309246,4135,192792,333413,109861,223552,2376574,630362,300069,76666
7/3/2022,12656,1696,266161,5881,344204,334153,134110,200043,1952310,523705,265043,65647
4/12/2023,14089,3087,409410,6543,191033,270544,103681,166863,2826800,813336,342903,100712
12/28/2022,13985,2980,335632,4187,161027,260568,98290,162278,2605837,728720,310038,86951
3/5/2019,1198,80,6869,186,13415,28925,11119,17806,16122,5688,10953,2537
11/28/2018,125,3,895,0,0,849,12,837,228,1,624,312
5/14/2019,1930,323,18482,479,28744,77183,31169,46014,54343,13730,30671,5093
2/2/2019,873,97,5944,178,6614,25261,14185,11076,8731,4168,8675,1884
11/5/2018,74,0,421,0,0,0,0,0,0,0,440,90
3/11/2022,11147,1422,237815,4538,169976,226212,85447,140765,1684657,422338,246757,53812
8/27/2022,12946,2237,291307,4736,225255,371906,127531,244375,2203345,579650,282882,72164
11/4/2022,13724,2689,325649,3976,183981,297939,95011,202928,2458043,657965,290449,78565
6/6/2022,12436,1680,256671,5813,366950,274499,110434,164065,1886249,494506,257713,62392
12/1/2022,13752,2813,331854,4933,197364,271596,92312,179284,2528467,699646,296942,81449
4/9/2019,1744,168,14454,466,25044,62343,22356,39987,30234,8385,24280,3538
1/10/2019,505,84,4848,106,3019,16082,7154,8928,4309,1875,7353,1335
5/8/2022,12098,1454,251632,5570,156719,259547,106556,152991,1816712,466253,252954,59796
8/5/2022,12864,2028,284901,5309,230434,408911,145803,263108,2092433,558139,276429,69222
5/5/2019,1904,202,17407,517,29929,76743,28083,48660,46338,12231,28038,4258
12/3/2018,139,3,986,0,0,839,12,827,228,11,937,395
2/13/2019,922,100,5527,180,7353,26813,13519,13294,10279,4419,9139,2050
9/30/2020,5470,843,80358,1873,79830,133648,52498,81150,593537,149748,87514,16234
10/28/2019,3314,570,31477,1204,33573,87509,30015,57494,197792,57955,45967,7679
5/28/2019,1961,381,20571,421,26905,78424,38258,40166,65467,15369,31189,5182
4/30/2020,4257,655,48909,2459,85346,118632,50880,67752,393150,110809,67365,12366
4/3/2021,7423,1214,131187,2875,86053,169816,66108,103708,862506,208401,139476,26278
3/7/2022,11022,1376,230594,4709,174214,221992,86957,135035,1673680,419267,246596,52890
10/18/2020,5703,984,85902,1995,77376,136299,49352,86947,617645,155865,92325,17058
9/21/2021,9660,1521,159729,2975,134476,305029,87556,217473,1211858,318366,170295,39037
9/7/2021,9376,1516,166562,2822,115456,320330,97224,223106,1163189,310947,172261,37921
9/24/2020,5425,830,78686,2056,80054,133801,53774,80027,584965,148371,86699,15978
4/9/2021,7478,1128,137083,2834,87645,173272,67670,105602,872529,210265,140778,26705
2/5/2022,10832,1449,228908,3480,132644,207319,80899,126420,1611727,403274,233427,50639
6/11/2019,2017,444,23965,478,27525,79745,32037,47708,78120,18464,32067,5388
4/8/2020,4393,564,48053,1655,67455,117097,49196,67901,364758,103862,64605,12293
11/9/2020,5998,1140,93967,1980,79921,139251,60501,78750,649770,162318,101755,17969
11/27/2019,3569,546,36317,1447,52128,79436,33123,46313,230416,66316,49654,8606
8/25/2020,5147,784,70718,1912,78024,127810,54082,73728,547634,140988,81471,15155
3/6/2021,7172,1175,112800,2747,91333,165502,63000,102502,816513,196210,132671,23543
5/12/2020,4227,730,50961,2589,88695,116007,50001,66006,406590,114014,68927,12413
10/24/2019,3284,395,32063,1181,30751,91578,31247,60331,193734,56028,45754,7642
10/11/2021,9802,1924,169531,2957,128127,251338,83176,168162,1312955,333607,174988,40340
1/6/2022,10643,1598,211021,3389,131093,215817,78238,137579,1539922,381048,218820,48224
7/11/2019,2433,518,27046,709,26076,86441,34604,51837,100621,25831,33613,5693
12/9/2020,6203,1011,108371,1590,69635,143541,56214,87327,691603,169203,117124,19260
1/25/2019,664,102,5385,188,8141,24793,11321,13472,6496,2131,8109,1699
12/26/2020,6351,1068,114927,1739,77087,145194,56068,89126,712058,172814,122235,20005
8/6/2020,5001,768,78270,1576,73693,123868,61551,62317,526908,137300,78417,14546
12/20/2021,10513,1516,207760,3743,113323,216150,72938,143212,1495998,373748,215054,47572
