SaleDate,ProductCategoryName,Units,UnitOfMeasureName,TotalPrice,CountBasedTotal,DollarCountBasedTotal,WeightBasedTotal,DollarWeightBasedTotal,Quantity,CCC Last Updated
4/23/2023,Suppository,6,Each,224,,224,0,0,8,4/24/2023
4/18/2023,Concentrate,217,Grams,11976.94,,0,343.5,11976.94,343.5,4/24/2023
4/18/2023,Infused (non-edible),243,Each,9574.57,,9574.57,0,0,304,4/24/2023
4/17/2023,Infused Pre-Rolls,6,Milligrams,120,,0,6000,120,6000,4/24/2023
4/22/2023,Concentrate (Bulk),27,Grams,885.25,,0,49.5,885.25,49.5,4/24/2023
4/19/2023,Infused Beverage,2660,Each,34129.76,,34129.76,0,0,4886,4/24/2023
4/20/2023,Shake/Trim (by strain),2357,Grams,89579.92,,0,24163.1,89579.92,24163.1,4/24/2023
4/18/2023,Shake/Trim,1068,Grams,49226.76,,0,14127.5,49226.76,14127.5,4/24/2023
4/23/2023,Shake/Trim,881,Grams,35481.09,,0,10004.5,35481.09,10004.5,4/24/2023
4/18/2023,Infused (edible),17843,Each,443019.56,,443019.56,0,0,23406,4/24/2023
4/22/2023,Infused Pre-Rolls,6,Milligrams,120,,0,6000,120,6000,4/24/2023
4/23/2023,Buds,5,Pounds,120.38,,0,0.06,120.38,0.06,4/24/2023
4/23/2023,Concentrate,261,Grams,14747.82,,0,418.5,14747.82,418.5,4/24/2023
4/22/2023,Infused (non-edible),361,Each,14030.65,,14030.65,0,0,451,4/24/2023
4/18/2023,Infused Pre-Rolls,8,Milligrams,280,,0,14000,280,14000,4/24/2023
4/19/2023,Concentrate,344,Grams,18197.43,,0,536,18197.43,536,4/24/2023
4/20/2023,Immature Plants,33,Each,1050.01,,1050.01,0,0,34,4/24/2023
4/18/2023,Kief,108,Grams,2566.75,,0,135.42,2566.75,135.42,4/24/2023
4/19/2023,Vape Product,20926,Each,815343.34,,815343.34,0,0,23319,4/24/2023
4/23/2023,Concentrate,2,Milligrams,52.5,,0,200,52.5,200,4/24/2023
4/22/2023,Shake/Trim (by strain),1361,Grams,57761.7,,0,13794.2,57761.7,13794.2,4/24/2023
4/18/2023,Concentrate (Each),4003,Each,166499.21,,166499.21,0,0,4638,4/24/2023
4/19/2023,Raw Pre-Rolls,47625,Grams,668890.980000001,,0,76484.71,668890.980000001,76484.71,4/24/2023
4/23/2023,Infused (non-edible),227,Each,9179.18,,9179.18,0,0,268,4/24/2023
4/17/2023,Buds,35404,Grams,1358770.43,,0,265368.88,1358770.43,265368.88,4/24/2023
4/20/2023,Infused Pre-Rolls,7230,Grams,161773.65,,0,9298.57,161773.65,9298.57,4/24/2023
4/22/2023,Concentrate,2,Milligrams,52.5,,0,200,52.5,200,4/24/2023
4/21/2023,Infused Beverage,3715,Each,53917.33,,53917.33,0,0,7175,4/24/2023
4/20/2023,Infused (non-edible),376,Each,14815.46,,14815.46,0,0,479,4/24/2023
4/17/2023,Shake/Trim (by strain),1279,Grams,50691.14,,0,12071.2,50691.14,12071.2,4/24/2023
4/19/2023,Immature Plants,13,Each,950,,950,0,0,19,4/24/2023
4/17/2023,Concentrate,1,Milligrams,26.25,,0,100,26.25,100,4/24/2023
4/21/2023,Buds,13,Pounds,486,,0,0.12,486,0.12,4/24/2023
4/19/2023,Infused Pre-Rolls,4,Milligrams,92,,0,5000,92,5000,4/24/2023
4/21/2023,Concentrate (Bulk),23,Grams,651.33,,0,33.5,651.33,33.5,4/24/2023
4/17/2023,Infused (non-edible),188,Each,6467.7,,6467.7,0,0,224,4/24/2023
4/22/2023,Kief,103,Grams,2654.29,,0,122.66,2654.29,122.66,4/24/2023
4/20/2023,Raw Pre-Rolls,105253,Grams,1277178.55,,0,170533.87,1277178.55,170533.87,4/24/2023
4/21/2023,Kief,117,Grams,2874.69,,0,133,2874.69,133,4/24/2023
4/17/2023,Infused (edible),16645,Each,415710.51,,415710.51,0,0,21496,4/24/2023
4/17/2023,Kief,94,Grams,2362.07,,0,122.42,2362.07,122.42,4/24/2023
4/21/2023,Shake/Trim,1031,Grams,42272.19,,0,12349,42272.19,12349,4/24/2023
4/20/2023,Concentrate,3,Milligrams,78.75,,0,300,78.75,300,4/24/2023
4/17/2023,Shake/Trim,989,Grams,43934.73,,0,12825,43934.73,12825,4/24/2023
4/19/2023,Buds,11,Pounds,412.57,,0,0.1,412.57,0.1,4/24/2023
4/20/2023,Vape Product,34405,Each,1227274.97,,1227274.97,0,0,39061,4/24/2023
4/23/2023,Shake/Trim (by strain),1080,Grams,45698.52,,0,10983.7,45698.52,10983.7,4/24/2023
4/17/2023,Concentrate,229,Grams,13095.58,,0,352,13095.58,352,4/24/2023
4/19/2023,Concentrate (Each),5389,Each,210711.71,,210711.71,0,0,6221,4/24/2023
4/19/2023,Infused Pre-Rolls,3132,Grams,71835.59,,0,3832.52,71835.59,3832.52,4/24/2023
4/18/2023,Buds,37695,Grams,1449065.93,,0,279853.66,1449065.93,279853.66,4/24/2023
4/17/2023,Infused Pre-Rolls,2289,Grams,55655.09,,0,2849.87,55655.09,2849.87,4/24/2023
4/17/2023,Concentrate (Each),3973,Each,168886.87,,168886.87,0,0,4804,4/24/2023
4/22/2023,Infused Pre-Rolls,3333,Grams,80203.4,,0,4115.22,80203.4,4115.22,4/24/2023
4/18/2023,Infused Pre-Rolls,2438,Grams,62826.06,,0,3216.36,62826.06,3216.36,4/24/2023
4/21/2023,Buds,4,Milligrams,409,,0,8900,409,8900,4/24/2023
4/19/2023,Infused (edible),21504,Each,523259.26,,523259.26,0,0,28061,4/24/2023
4/21/2023,Infused (non-edible),313,Each,12565.37,,12565.37,0,0,394,4/24/2023
4/18/2023,Buds,2,Pounds,52,,0,0.01,52,0.01,4/24/2023
4/20/2023,Concentrate (Each),9915,Each,348971.34,,348971.34,0,0,11833,4/24/2023
