SaleDate,ProductCategoryName,Units,UnitOfMeasureName,TotalPrice,CountBasedTotal,DollarCountBasedTotal,WeightBasedTotal,DollarWeightBasedTotal,Quantity,CCC Last Updated
3/31/2020,Infused Pre-Rolls,98,Grams,2604.88,0,0,144.8,2604.88,144.8,4/24/2023
5/4/2019,Shake/Trim,4,Grams,262.25,0,0,24.5,262.25,24.5,4/24/2023
12/19/2019,Vape Product,92,Each,6768.31,116,6768.31,0,0,116,4/24/2023
7/31/2022,Concentrate,24,Grams,1360.16,0,0,35,1360.16,35,4/24/2023
9/7/2019,Buds,5287,Grams,260230.06,0,0,24752.37,260230.06,24752.37,4/24/2023
4/4/2022,Concentrate,46,Grams,1969.32,0,0,56,1969.32,56,4/24/2023
9/24/2021,Concentrate (Each),1729,Each,85060.68,2115,85060.68,0,0,2115,4/24/2023
2/3/2023,Concentrate,64,Grams,2522.77,0,0,84,2522.77,84,4/24/2023
8/11/2020,Vape Product,2222,Each,130309.58,2748,130309.58,0,0,2748,4/24/2023
2/11/2021,Shake/Trim (by strain),173,Grams,5593.77,0,0,820.25,5593.77,820.25,4/24/2023
7/22/2020,Kief,40,Grams,1147.8,0,0,51,1147.8,51,4/24/2023
9/4/2022,Concentrate (Bulk),6,Grams,252,0,0,6,252,6,4/24/2023
1/19/2022,Infused Pre-Rolls,199,Grams,6114.95,0,0,293.14,6114.95,293.14,4/24/2023
4/1/2023,Concentrate,23,Grams,1227.57,,0,37,1227.57,37,4/24/2023
3/12/2023,Concentrate (Each),1051,Each,41986.37,,41986.37,0,0,1336,4/24/2023
12/1/2022,Infused Pre-Rolls,1,Milligrams,17.84,0,0,650,17.84,650,4/24/2023
10/5/2019,Shake/Trim (by strain),136,Grams,3105.6,0,0,315.75,3105.6,315.75,4/24/2023
12/1/2021,Infused (non-edible),63,Each,2739.35,87,2739.35,0,0,87,4/24/2023
5/31/2022,Shake/Trim (by strain),291,Grams,14350.91,0,0,2988.6,14350.91,2988.6,4/24/2023
2/14/2020,Vape Product,1745,Each,99639.04,2015,99639.04,0,0,2015,4/24/2023
4/15/2020,Vape Product,2096,Each,117994.47,2537,117994.47,0,0,2537,4/24/2023
6/11/2020,Vape Product,2175,Each,125175.78,2643,125175.78,0,0,2643,4/24/2023
12/4/2022,Concentrate,46,Grams,1859.26,0,0,55,1859.26,55,4/24/2023
8/23/2019,Vape Product,2,Each,114,3,114,0,0,3,4/24/2023
5/19/2020,Infused (non-edible),183,Each,7186.18,239,7186.18,0,0,239,4/24/2023
3/23/2019,Buds,76,Grams,3581,0,0,260,3581,260,4/24/2023
12/29/2021,Buds,7263,Grams,367092.06,0,0,39543.3,367092.06,39543.3,4/24/2023
10/8/2022,Concentrate,54,Grams,2378.13,0,0,62.5,2378.13,62.5,4/24/2023
6/12/2022,Concentrate,43,Grams,1518.43,0,0,43.5,1518.43,43.5,4/24/2023
7/18/2020,Concentrate (Each),1224,Each,68732.1,1527,68732.1,0,0,1527,4/24/2023
2/11/2021,Kief,28,Grams,713.67,0,0,33,713.67,33,4/24/2023
6/16/2022,Buds,7415,Grams,357149.26,0,0,46367.78,357149.26,46367.78,4/24/2023
12/14/2022,Infused Pre-Rolls,354,Grams,7905.61,0,0,452.09,7905.61,452.09,4/24/2023
9/18/2019,Concentrate,95,Grams,4670.69,0,0,109.72,4670.69,109.72,4/24/2023
5/8/2022,Vape Product,1915,Each,92305.6,2293,92305.6,0,0,2293,4/24/2023
3/11/2020,Concentrate,170,Grams,10356.82,0,0,187,10356.82,187,4/24/2023
4/12/2019,Infused (edible),533,Each,25085,759,25085,0,0,759,4/24/2023
5/6/2019,Buds,14,Each,471.63,15,471.63,0,0,15,4/24/2023
4/24/2020,Concentrate (Each),1681,Each,89757.53,2114,89757.53,0,0,2114,4/24/2023
8/30/2022,Shake/Trim (by strain),245,Grams,10090.23,0,0,2283.8,10090.23,2283.8,4/24/2023
5/19/2020,Concentrate,216,Grams,12880.78,0,0,244.5,12880.78,244.5,4/24/2023
6/23/2020,Infused (non-edible),138,Each,5522.47,171,5522.47,0,0,171,4/24/2023
12/30/2022,Vape Product,3898,Each,154226.91,4972,154226.91,0,0,4972,4/24/2023
7/19/2019,Concentrate,154,Grams,6134.08,0,0,115.5,6134.08,115.5,4/24/2023
3/9/2023,Vape Product,3135,Each,119255.23,,119255.23,0,0,3967,4/24/2023
11/18/2019,Concentrate,126,Grams,6659.13,0,0,128,6659.13,128,4/24/2023
4/10/2023,Concentrate (Each),1220,Each,46530.69,,46530.69,0,0,1591,4/24/2023
7/8/2022,Vape Product,4251,Each,180923.63,5339,180923.63,0,0,5339,4/24/2023
5/26/2022,Concentrate (Bulk),4,Grams,221.9,0,0,4.1,221.9,4.1,4/24/2023
2/22/2021,Shake/Trim (by strain),169,Grams,5246.88,0,0,779.25,5246.88,779.25,4/24/2023
7/30/2021,Concentrate,7,Milligrams,342.57,0,0,9000,342.57,9000,4/24/2023
8/11/2020,Infused Pre-Rolls,148,Grams,4367.81,0,0,234.05,4367.81,234.05,4/24/2023
2/20/2021,Buds,8296,Grams,442374.93,0,0,40284.28,442374.93,40284.28,4/24/2023
4/1/2019,Raw Pre-Rolls,31,Grams,894.83,0,0,72.25,894.83,72.25,4/24/2023
4/26/2020,Buds,4728,Grams,259007.42,0,0,24387.9,259007.42,24387.9,4/24/2023
12/10/2021,Concentrate (Each),1638,Each,82124.53,2150,82124.53,0,0,2150,4/24/2023
9/7/2022,Vape Product,3358,Each,134174.03,4276,134174.03,0,0,4276,4/24/2023
10/3/2021,Infused (non-edible),139,Each,5693.46,191,5693.46,0,0,191,4/24/2023
2/1/2023,Infused (non-edible),85,Each,2800.65,113,2800.65,0,0,113,4/24/2023
8/18/2019,Buds,1,Each,160,4,160,0,0,4,4/24/2023
8/8/2022,Kief,31,Grams,685.38,0,0,33,685.38,33,4/24/2023
7/11/2020,Concentrate,273,Grams,14710.97,0,0,288,14710.97,288,4/24/2023
10/16/2019,Kief,27,Grams,688.88,0,0,26,688.88,26,4/24/2023
11/7/2022,Vape Product,2732,Each,112881.03,3716,112881.03,0,0,3716,4/24/2023
9/18/2020,Concentrate,234,Grams,13688.44,0,0,248.5,13688.44,248.5,4/24/2023
2/19/2023,Buds,5525,Grams,238502.82,0,0,38677.15,238502.82,38677.15,4/24/2023
8/15/2021,Infused Pre-Rolls,103,Grams,3032.16,0,0,139.95,3032.16,139.95,4/24/2023
8/30/2021,Kief,29,Grams,766.12,0,0,48.04,766.12,48.04,4/24/2023
9/16/2019,Shake/Trim (by strain),61,Grams,1517.81,0,0,133.75,1517.81,133.75,4/24/2023
1/18/2020,Concentrate,168,Grams,9457.15,0,0,167.72,9457.15,167.72,4/24/2023
9/23/2020,Concentrate,197,Grams,12500.61,0,0,229.5,12500.61,229.5,4/24/2023
7/1/2022,Vape Product,4674,Each,205691.48,5612,205691.48,0,0,5612,4/24/2023
2/21/2021,Infused (non-edible),127,Each,4970.48,187,4970.48,0,0,187,4/24/2023
3/6/2020,Concentrate,198,Grams,11808,0,0,218.5,11808,218.5,4/24/2023
9/14/2022,Vape Product,3423,Each,130508.39,4339,130508.39,0,0,4339,4/24/2023
11/25/2019,Concentrate,156,Grams,8847.64,0,0,175,8847.64,175,4/24/2023
6/30/2020,Shake/Trim (by strain),103,Grams,2935.42,0,0,383.5,2935.42,383.5,4/24/2023
4/13/2020,Kief,16,Grams,542.88,0,0,23,542.88,23,4/24/2023
1/23/2020,Concentrate,161,Grams,8775.59,0,0,164.49,8775.59,164.49,4/24/2023
11/12/2022,Vape Product,2991,Each,118101.13,3639,118101.13,0,0,3639,4/24/2023
9/11/2019,Concentrate,97,Grams,3940.04,0,0,75.5,3940.04,75.5,4/24/2023
5/12/2020,Concentrate,236,Grams,13445.31,0,0,255,13445.31,255,4/24/2023
10/5/2019,Buds,5786,Grams,283898.93,0,0,27292.03,283898.93,27292.03,4/24/2023
4/3/2019,Infused (edible),202,Each,8417.74,301,8417.74,0,0,301,4/24/2023
11/5/2021,Concentrate (Bulk),5,Grams,148.43,0,0,5,148.43,5,4/24/2023
12/23/2020,Concentrate (Each),1793,Each,93707.42,2211,93707.42,0,0,2211,4/24/2023
7/18/2020,Concentrate,241,Grams,13577.12,0,0,260.5,13577.12,260.5,4/24/2023
3/2/2023,Vape Product,3215,Each,117831.86,,117831.86,0,0,4085,4/24/2023
1/27/2023,Kief,32,Grams,587.55,0,0,37.5,587.55,37.5,4/24/2023
3/21/2019,Raw Pre-Rolls,20,Grams,753.5,0,0,53,753.5,53,4/24/2023
