AverageRetailPriceperOz,SoldDate,AverageRetailPriceperGm,Unit
355.5,1/31/2022,12.54,Grams
411.63,4/25/2019,14.52,Grams
342.75,3/7/2022,12.09,Grams
172.65,6/30/2023,6.09,Grams
394.34,7/24/2021,13.91,Grams
175.2,7/30/2023,6.18,Grams
382.72,10/12/2021,13.5,Grams
391.51,7/8/2021,13.81,Grams
406.25,9/25/2020,14.33,Grams
405.11,11/3/2020,14.29,Grams
415.6,11/26/2019,14.66,Grams
292.57,7/6/2022,10.32,Grams
163.86,11/24/2022,5.78,Grams
410.5,8/25/2020,14.48,Grams
314.11,5/11/2022,11.08,Grams
405.4,5/22/2019,14.3,Grams
280.09,8/16/2022,9.88,Grams
203.55,3/13/2023,7.18,Grams
213.47,1/4/2023,7.53,Grams
402.28,2/1/2021,14.19,Grams
355.5,2/8/2022,12.54,Grams
288.31,7/7/2022,10.17,Grams
406.82,7/10/2019,14.35,Grams
368.54,1/3/2022,13,Grams
335.66,3/16/2022,11.84,Grams
403.7,1/25/2021,14.24,Grams
409.37,1/5/2019,14.44,Grams
195.61,3/25/2023,6.9,Grams
417.87,1/28/2020,14.74,Grams
397.18,6/10/2021,14.01,Grams
176.33,5/26/2023,6.22,Grams
157.62,1/30/2023,5.56,Grams
194.19,3/29/2023,6.85,Grams
326.02,4/7/2022,11.5,Grams
198.73,2/7/2023,7.01,Grams
402.56,2/20/2021,14.2,Grams
398.31,5/13/2021,14.05,Grams
247.77,10/4/2022,8.74,Grams
376.76,11/18/2021,13.29,Grams
411.63,4/5/2019,14.52,Grams
407.67,7/20/2020,14.38,Grams
159.89,4/21/2023,5.64,Grams
254.58,10/8/2022,8.98,Grams
362.02,12/10/2021,12.77,Grams
416.45,1/13/2020,14.69,Grams
347.56,3/1/2022,12.26,Grams
415.32,10/15/2019,14.65,Grams
409.37,9/13/2020,14.44,Grams
394.62,8/9/2021,13.92,Grams
177.75,6/2/2023,6.27,Grams
410.78,6/12/2019,14.49,Grams
409.08,8/4/2020,14.43,Grams
405.11,1/1/2019,14.29,Grams
180.3,6/26/2023,6.36,Grams
393.49,8/22/2021,13.88,Grams
402.56,4/8/2021,14.2,Grams
393.49,3/17/2021,13.88,Grams
420.42,1/26/2019,14.83,Grams
400.58,1/18/2021,14.13,Grams
405.96,6/5/2019,14.32,Grams
359.76,12/22/2021,12.69,Grams
147.98,4/18/2023,5.22,Grams
231.9,11/4/2022,8.18,Grams
383.57,9/22/2021,13.53,Grams
409.93,6/4/2019,14.46,Grams
204.12,1/27/2023,7.2,Grams
278.96,7/22/2022,9.84,Grams
407.95,8/6/2020,14.39,Grams
245.51,10/18/2022,8.66,Grams
328.57,4/12/2022,11.59,Grams
335.66,3/25/2022,11.84,Grams
415.6,2/10/2019,14.66,Grams
402,4/2/2021,14.18,Grams
410.5,10/10/2020,14.48,Grams
408.23,2/4/2019,14.4,Grams
401.43,6/26/2019,14.16,Grams
394.34,7/23/2021,13.91,Grams
407.1,7/23/2019,14.36,Grams
323.18,4/30/2022,11.4,Grams
409.37,3/1/2020,14.44,Grams
157.62,3/7/2023,5.56,Grams
170.66,6/23/2023,6.02,Grams
415.32,11/23/2019,14.65,Grams
180.02,6/29/2023,6.35,Grams
413.62,11/12/2019,14.59,Grams
187.67,4/8/2023,6.62,Grams
266.49,9/4/2022,9.4,Grams
204.97,10/16/2022,7.23,Grams
