RecordNo,ActivitySummaryDate,PlantTrackedCount,PlantBatchCount,StrainActiveCount,PlantImmatureCount,HarvestActiveCount,PlantVegetativeCount,PlantFloweringCount,PlantHarvestedCount,PlantDestroyedCount,EmployeeCount,ProductActiveCount,PackageActiveCount
1,10/15/2018,0,0,0,0,0,0,0,0,0,1,0,0
2,10/16/2018,0,0,0,0,0,0,0,0,0,3,0,0
3,10/17/2018,0,0,0,0,0,0,0,0,0,5.5,0,0
4,10/18/2018,0,0,0,0,0,0,0,0,0,6.055555556,0,0
5,10/19/2018,0,0,0,0,0,0,0,0,0,6.055555556,0,0
6,10/22/2018,0,0,0,0,0,0,0,0,0,6.055555556,0,0
7,10/23/2018,0,0,0,0,0,0,0,0,0,6.055555556,0,0
8,10/24/2018,0,0,8.111111111,0,0,0,0,0,0,6.055555556,34.888888889,40.444444444
9,10/25/2018,0,0,8.111111111,0,0,0,0,0,0,6.055555556,34.888888889,40.444444444
10,10/26/2018,0,0,10.555555556,0,0,0,0,0,0,6.055555556,46.555555556,40.444444444
11,10/29/2018,0,0,10.666666667,0,0,0,0,0,0,6.055555556,49.111111111,46.777777778
12,10/30/2018,0,0,8,0,0,0,0,0,0,7.166666667,36.833333333,35.083333333
13,10/31/2018,0,0,8,0,0,0,0,0,0,8.166666667,36.833333333,35.083333333
14,11/1/2018,0,0,8,0,0,0,0,0,0,8.166666667,38.166666667,35.083333333
15,11/2/2018,0,0,8,0,0,0,0,0,0,8.291666667,38.166666667,35.083333333
16,11/5/2018,0,0,8,0,0,0,0,0,0,8.291666667,38.166666667,35.083333333
17,11/6/2018,0,0,8.083333333,0,0,0,0,0,0,8.291666667,41.583333333,41.333333333
18,11/7/2018,0,0,8.083333333,0,0,0,0,0,0,8.291666667,41.583333333,41.666666667
19,11/8/2018,0,0,8.083333333,0,0,0,0,0,0,8.291666667,41.583333333,41.666666667
20,11/9/2018,0,0,8.083333333,0,0,0,0,0,0,8.291666667,41.583333333,41.666666667
21,11/12/2018,0,0,8.083333333,0,0,0,0,0,0,8.291666667,41.583333333,45.166666667
22,11/13/2018,0,0,8.083333333,0,0,0,0,0,0,8.291666667,41.583333333,45.166666667
23,11/14/2018,0,0,8.166666667,0,0,0,0,0,0,8.291666667,42.041666667,46.166666667
24,11/15/2018,0,0,8.166666667,0,0,0,0,0,0,8.291666667,43.791666667,51.416666667
25,11/16/2018,0,0,8.166666667,0,0,0,0,0,0,10.708333333,43.791666667,51.416666667
26,11/17/2018,0,0,8.166666667,0,0,0,0,0,0,10.708333333,43.791666667,52.333333333
27,11/18/2018,28.5,0,10.583333333,0,0,1.375,27.125,0,0,10.708333333,45.958333333,54.916666667
28,11/19/2018,134.625,0,10.708333333,0,0,1.5,133.125,0,0.125,10.708333333,46.791666667,57.666666667
29,11/20/2018,134.625,0,10.875,0,0,1.5,133.125,0,0.125,10.708333333,49.875,66
30,11/21/2018,119.875,0,10.875,0,0.125,1.5,118.375,14.75,0.125,10.708333333,50.291666667,67.041666667
31,11/22/2018,119.875,0,10.875,0,0.125,1.5,118.375,14.75,0.125,10.708333333,50.291666667,67.041666667
32,11/23/2018,106.125,0,10.875,0,0.375,1.5,104.625,28.5,0.125,10.708333333,50.291666667,68.208333333
33,11/24/2018,106.125,0,10.958333333,0,0.375,1.5,104.625,28.5,0.125,10.708333333,50.458333333,69.125
34,11/25/2018,106.125,0,10.958333333,0,0.375,1.5,104.625,28.5,0.125,10.708333333,50.541666667,70.833333333
35,11/26/2018,106.125,0,10.958333333,0,0.375,1.5,104.625,28.5,0.125,11,52.75,72.666666667
36,11/27/2018,70.75,0,6.883333333,0,0.25,1,69.75,19,0.083333333,8.9,32.183333333,44.925
37,11/28/2018,70.75,0,20.9,0,0.25,1,69.75,19,0.083333333,9.7,33.366666667,46.208333333
38,11/29/2018,70.416666667,0,19.625,0,0.25,1,69.416666667,19,0.416666667,9.375,40.875,39.916666667
39,11/30/2018,41.95,0,13.15,0,0.15,0.6,41.35,11.4,0.55,7.5,31.683333333,32.033333333
40,12/1/2018,41.95,0,13.15,0,0.15,0.6,41.35,11.4,0.55,7.5,31.683333333,32.65
41,12/2/2018,41.95,0,13.15,0,0.15,0.6,41.35,11.4,0.55,7.5,31.716666667,32.683333333
42,12/3/2018,41.95,0,15.816666667,0,0.15,0.6,41.35,11.4,0.55,7.5,32.316666667,34.016666667
43,12/4/2018,32.7,0,18.216666667,0,0.25,0.6,32.1,20.6,0.6,7.833333333,36.916666667,34.75
44,12/5/2018,30.35,0.2,20.416666667,12.5,0.3,0.6,29.75,22.95,0.6,8.933333333,44.983333333,35.966666667
45,12/6/2018,30.35,0.2,20.416666667,12.5,0.15,0.6,29.75,22.95,0.6,12.283333333,47.083333333,36
46,12/7/2018,24.28,0.16,17.045714286,10,0.12,0.48,23.8,18.36,0.48,10.96,40.451428571,33.082857143
47,12/8/2018,24.28,0.16,17.045714286,10,0.12,0.48,23.8,18.36,0.48,10.96,40.708571429,33.854285714
48,12/9/2018,24.28,0.16,17.045714286,10,0.12,0.48,23.8,18.36,0.48,10.96,40.708571429,33.854285714
49,12/10/2018,24.28,0.16,24.16,10,0.12,0.48,23.8,18.36,0.48,11.811428571,40.822857143,34.92
50,12/11/2018,24.28,0.16,24.268571429,10,0.12,0.48,23.8,18.36,0.48,12.302857143,41.165714286,35.32
51,12/12/2018,24.28,0.16,24.588571429,10,0.12,0.48,23.8,18.36,0.48,12.302857143,42.451428571,37.608571429
52,12/13/2018,19.914285714,0.114285714,18.466666667,4.571428571,0.085714286,2.914285714,17,13.114285714,0.342857143,10.530158730,33,29.922222222
53,12/14/2018,22.685714286,0.114285714,21.895238095,4.571428571,0.085714286,5.685714286,17,13.114285714,0.342857143,10.530158730,59.780952381,32.060317460
54,12/15/2018,22.685714286,0.114285714,21.895238095,4.571428571,0.085714286,5.685714286,17,13.114285714,0.342857143,10.530158730,60.025396825,32.593650794
55,12/16/2018,22.685714286,0.114285714,25.295238095,4.571428571,0.085714286,5.685714286,17,13.114285714,0.342857143,11.558730159,112.568253968,32.771428571
56,12/17/2018,397.857142857,7.2,28.123809524,220.057142857,0.085714286,380.857142857,17,13.114285714,0.485714286,11.558730159,169.520634921,57.906349206
57,12/18/2018,408.314285714,7.314285714,28.380952381,222.828571429,0.085714286,215.8,192.514285714,13.114285714,1.942857143,11.580952381,170.692063492,64.014285714
58,12/19/2018,441.628571429,7.657142857,28.380952381,251.2,0.085714286,222.628571429,219,13.114285714,2,11.784126984,172.831746032,67.742857143
59,12/20/2018,450.114285714,7.428571429,27.522857143,243.171428571,0.085714286,217.8,232.314285714,13.114285714,2.457142857,11.445714286,167.268571429,69.788571429
60,12/21/2018,476.428571429,7.371428571,27.551428571,248.285714286,0.085714286,244.2,232.228571429,13.114285714,3.114285714,11.445714286,168.765714286,77.791428571
61,12/22/2018,481.657142857,7.171428571,27.551428571,241.314285714,0.085714286,232.742857143,248.914285714,13.114285714,3.942857143,11.445714286,168.785714286,79.137142857
62,12/23/2018,485.714285714,7.028571429,27.591428571,235.8,0.085714286,236.8,248.914285714,13.114285714,4,11.445714286,168.865714286,79.137142857
63,12/24/2018,469.428571429,6.942857143,27.691428571,233.342857143,0.114285714,215.2,254.228571429,15.714285714,19.628571429,11.542857143,169.062857143,79.108571429
64,12/25/2018,469.428571429,6.942857143,27.691428571,232.714285714,0.114285714,215.2,254.228571429,15.714285714,19.628571429,11.542857143,169.062857143,79.108571429
65,12/26/2018,468.371428571,6.828571429,27.851428571,219.571428571,0.257142857,234.714285714,233.657142857,36.028571429,20.114285714,12.58,169.591428571,82.548571429
66,12/27/2018,456.457142857,4,27.928571429,131.8,0.428571429,210.2,246.257142857,52.342857143,26.114285714,12.62,175.271428571,80.157142857
67,12/28/2018,444.942857143,3.828571429,28.082857143,125.742857143,0.914285714,217.885714286,227.057142857,71.514285714,26.285714286,13,175.751428571,84.711428571
68,12/29/2018,443.971428571,3.714285714,28.082857143,121.628571429,0.942857143,218.342857143,225.628571429,72.942857143,29.942857143,13.097142857,175.751428571,87.474285714
69,12/30/2018,442.114285714,3.514285714,28.102857143,115.742857143,1.028571429,222.514285714,219.6,79,30.171428571,13.077142857,175.931428571,87.634285714
70,12/31/2018,440.4,3.514285714,29.76,115.571428571,1.085714286,221.771428571,218.628571429,79.971428571,30.914285714,13.134285714,176.997142857,90.962857143
71,1/1/2019,442.657142857,2.885714286,30.837142857,93.942857143,1.4,214.2,228.457142857,85.285714286,34.771428571,13.134285714,177.411428571,92.577142857
72,1/2/2019,382.975,2.55,29.225,81.35,1.35,188.625,194.35,80.175,30.8,12.79,163.15,90.625
73,1/3/2019,387.75,2.3,29.245,65.825,1.6,201.8,185.95,84.675,36.225,12.875,164.04,94.85
74,1/4/2019,392.2,2.25,29.335,62.325,1.775,208.9,183.3,94.375,39.8,14.035,164.255,100.125
75,1/5/2019,388.925,2.45,29.455,69.525,1.8,208.825,180.1,97.575,39.875,14.035,164.685,101.485
76,1/6/2019,390.325,2.75,29.455,80.425,1.825,199.4,190.925,99.175,40.125,14.035,164.685,101.345
