SaleDate,UnitOfMeasureName,ProductCategoryName,TotalPrice,CountBasedTotal,DollarCountBasedTotal,WeightBasedTotal,DollarWeightBasedTotal,Quantity,Units
1/15/2021,Grams,Infused Pre-Rolls,16075.29,0,0,675.55,16075.29,675.55,579
12/27/2022,Grams,Buds,1548094.96,0,0,203565.66,1548094.96,203565.66,35241
1/11/2023,Grams,Kief,2287.09,0,0,113.6,2287.09,113.6,104
2/20/2021,Each,Concentrate (Each),252543.3,4935,252543.3,0,0,4935,4314
3/8/2020,Each,Infused (non-edible),14564.49,379,14564.49,0,0,379,319
2/11/2022,Each,Vape Product,1108245.42,20651,1108245.42,0,0,20651,18593
10/26/2021,Grams,Raw Pre-Rolls,450482.98,0,0,30808.68,450482.98,30808.68,21691
6/11/2023,Each,Seeds,84,2,84,0,0,2,2
11/14/2019,Each,Infused (edible),257318.21,8619,257318.21,0,0,8619,6535
4/15/2023,Grams,Shake/Trim,53803.25,0,0,15879,53803.25,15879,1164
12/17/2021,Grams,Infused Pre-Rolls,59476.71,0,0,2028.33,59476.71,2028.33,1812
1/23/2023,Milligrams,Infused Pre-Rolls,235,0,0,5200,235,5200,9
5/17/2021,Grams,Kief,3059.05,0,0,153,3059.05,153,92
12/14/2021,Each,Infused Beverage,28139.02,3621,28139.02,0,0,3621,1713
3/21/2022,Each,Vape Product,691602.82,13119,691602.82,0,0,13119,11903
8/23/2021,Milligrams,Raw Pre-Rolls,1327.62,0,0,110500,1327.62,110500,88
9/20/2021,Grams,Infused Pre-Rolls,18306.27,0,0,560.77,18306.27,560.77,538
10/18/2021,Each,Concentrate (Each),210182.68,4113,210182.68,0,0,4113,3659
7/31/2022,Grams,Raw Pre-Rolls,596750.63,0,0,49280,596750.63,49280,32537
10/3/2022,Each,Infused (edible),450178.9,21503,450178.9,0,0,21503,16211
8/2/2023,Grams,Concentrate,20394.13,0,0,648.3,20394.13,648.3,359
2/12/2021,Each,Concentrate (Each),232101.24,4540,232101.24,0,0,4540,4003
1/30/2019,Each,Concentrate,25,1,25,0,0,1,1
