ProductCategoryName,UnitOfMeasureName,Grams_Flower_Req,Notes
Infused (edible),Each,0.66,Each is a package of 20
Infused (non-edible),Each,4,
Buds,Each,1,Assume each is 1 gram
Buds,Grams,1,
Kief,Grams,1,
Concentrate (Each),Each,4.6,
Concentrate,Grams,4.6,
Shake/Trim (by strain),Grams,1,
Infused Pre-Rolls,Grams,1,
Vape Product,Each,4.6,
Infused Pre-Rolls,Grams,1,
Infused Beverage,Each,3,
Raw Pre-Rolls,Grams,1,
Suppository,Each,0.5,
Concentrate (Bulk),Grams,1,
Infused Beverages (Bulk),Milliliters,1,
Raw Pre-Rolls,Kilograms,1000,
Buds,Kilograms,1000,
Concentrate,Each,4.6,
Kief,Each,1,
Shake/Trim,Grams,1,
