UnitOfMeasureName,SaleDate,ProductCategoryName,TotalPrice,CountBasedTotal,DollarCountBasedTotal,WeightBasedTotal,DollarWeightBasedTotal,Quantity,Units
Grams,7/27/2023,Infused Pre-Rolls,80,0,0,3.4,80,3.4,4
Grams,7/29/2023,Raw Pre-Rolls,12622.81,0,0,1133.9,12622.81,1133.9,707
Grams,7/24/2023,Raw Pre-Rolls,1510.92,0,0,163,1510.92,163,105
Each,7/27/2023,Concentrate (Each),140,2,140,0,0,2,2
Each,7/24/2023,Concentrate (Each),183.7,6,183.7,0,0,6,5
Grams,7/25/2023,Infused Pre-Rolls,222,0,0,5.36,222,5.36,8
Each,7/27/2023,Infused (non-edible),160,4,160,0,0,4,3
Each,7/26/2023,Infused Beverage,130.05,17,130.05,0,0,17,6
Each,7/28/2023,Vape Product,8231,241,8231,0,0,241,224
Grams,7/30/2023,Shake/Trim,59,0,0,14,59,14,1
Each,7/29/2023,Vape Product,1099,33,1099,0,0,33,31
Each,7/24/2023,Concentrate (Each),309,8,309,0,0,8,6
Each,7/26/2023,Infused (edible),812,38,812,0,0,38,29
Each,7/26/2023,Infused Beverage,37.2,7,37.2,0,0,7,4
Each,7/27/2023,Infused (edible),4008,211,4008,0,0,211,173
Grams,7/27/2023,Infused Pre-Rolls,40,0,0,2.5,40,2.5,1
Grams,7/25/2023,Buds,4692.48,0,0,632.25,4692.48,632.25,161
Each,7/29/2023,Vape Product,7015.6,200,7015.6,0,0,200,170
Grams,7/27/2023,Buds,4136,0,0,624,4136,624,110
Grams,7/29/2023,Infused Pre-Rolls,283,0,0,15.8,283,15.8,12
Grams,7/25/2023,Infused Pre-Rolls,50,0,0,2.5,50,2.5,1
Each,7/26/2023,Infused Beverage,345.8,49,345.8,0,0,49,29
Each,7/24/2023,Infused Beverage,209,15,209,0,0,15,14
Each,7/25/2023,Concentrate (Each),685,16,685,0,0,16,14
Each,7/24/2023,Infused (edible),2914.06,134,2914.06,0,0,134,107
Grams,7/26/2023,Buds,10250,0,0,1828,10250,1828,264
Grams,7/26/2023,Raw Pre-Rolls,831.66,0,0,105.6,831.66,105.6,74
Each,7/29/2023,Infused (edible),10789.65,824,10789.65,0,0,824,687
Each,7/29/2023,Infused Beverage,454,70,454,0,0,70,39
Each,7/28/2023,Vape Product,3168.28,67,3168.28,0,0,67,59
Each,7/28/2023,Infused Beverage,34.95,5,34.95,0,0,5,2
Each,7/24/2023,Vape Product,772,16,772,0,0,16,15
Grams,7/30/2023,Buds,1198,0,0,132.5,1198,132.5,22
Each,7/29/2023,Infused (edible),1334.55,82,1334.55,0,0,82,58
Grams,7/28/2023,Concentrate,90,0,0,2,90,2,2
Grams,7/26/2023,Raw Pre-Rolls,1544.57,0,0,143,1544.57,143,97
Each,7/25/2023,Infused (edible),2495.4,104,2495.4,0,0,104,100
Grams,7/28/2023,Buds,3467.52,0,0,441,3467.52,441,57
Grams,7/28/2023,Shake/Trim,264,0,0,70,264,70,8
Each,7/27/2023,Infused (edible),172,9,172,0,0,9,9
Each,7/27/2023,Infused Beverage,47.5,7,47.5,0,0,7,4
Grams,7/30/2023,Buds,1538,0,0,227.5,1538,227.5,33
Grams,7/24/2023,Infused Pre-Rolls,225,0,0,10.25,225,10.25,6
Grams,7/26/2023,Buds,14476.78,0,0,1561.5,14476.78,1561.5,334
Each,7/29/2023,Concentrate (Each),952.25,22,952.25,0,0,22,19
Each,7/25/2023,Vape Product,655,15,655,0,0,15,17
Each,7/26/2023,Concentrate (Each),180,6,180,0,0,6,6
Each,7/29/2023,Vape Product,2887.16,100,2887.16,0,0,100,94
Each,7/27/2023,Concentrate (Each),635,19,635,0,0,19,17
Each,7/30/2023,Infused Beverage,86,12,86,0,0,12,12
Grams,7/30/2023,Buds,5629,0,0,809,5629,809,118
Each,7/27/2023,Infused Beverage,1414.5,248,1414.5,0,0,248,59
Each,7/30/2023,Infused Beverage,91,13,91,0,0,13,5
Each,7/27/2023,Infused (edible),126.5,9,126.5,0,0,9,4
Each,7/30/2023,Vape Product,1518.05,39,1518.05,0,0,39,36
Grams,7/27/2023,Infused Pre-Rolls,30,0,0,1.5,30,1.5,1
Grams,7/27/2023,Buds,5401.55,0,0,686.25,5401.55,686.25,181
Grams,7/24/2023,Infused Pre-Rolls,129.36,0,0,6,129.36,6,4
Grams,7/24/2023,Concentrate,50,0,0,1,50,1,1
Grams,7/29/2023,Buds,5477.32,0,0,892.5,5477.32,892.5,186
Each,7/30/2023,Vape Product,2754.49,82,2754.49,0,0,82,77
Grams,7/27/2023,Shake/Trim,843.2,0,0,175,843.2,175,20
