SaleDate,UnitOfMeasureName,ProductCategoryName,TotalPrice,CountBasedTotal,DollarCountBasedTotal,WeightBasedTotal,DollarWeightBasedTotal,Quantity,Units
4/10/2022,Grams,Concentrate (Bulk),670.52,0,0,13,670.52,13,2
7/2/2020,Each,Infused (edible),168718.4,5710,168718.4,0,0,5710,3725
10/5/2020,Grams,Infused Pre-Rolls,2900.28,0,0,137.5,2900.28,137.5,102
9/17/2021,Grams,Shake/Trim,1378.23,0,0,344.8,1378.23,344.8,24
2/21/2021,Each,Infused (non-edible),4958.48,186,4958.48,0,0,186,126
1/30/2020,Grams,Kief,253,0,0,8,253,8,8
6/4/2021,Grams,Shake/Trim (by strain),11100.21,0,0,1983.25,11100.21,1983.25,256
5/6/2021,Each,Vape Product,135129.92,2997,135129.92,0,0,2997,2445
12/29/2022,Each,Vape Product,129861.57,4098,129861.57,0,0,4098,3260
7/3/2019,Each,Concentrate (Each),212012.17,4464,212012.17,0,0,4464,3701
2/13/2021,Each,Infused (non-edible),8928.84,339,8928.84,0,0,339,260
1/13/2020,Grams,Buds,196891.31,0,0,18440.12,196891.31,18440.12,3996
5/28/2019,Grams,Infused Pre-Rolls,458.31,0,0,38,458.31,38,24
6/16/2023,Grams,Concentrate (Bulk),124.25,0,0,4,124.25,4,4
1/2/2021,Grams,Raw Pre-Rolls,89473.92,0,0,7909.3,89473.92,7909.3,4095
4/9/2020,Each,Vape Product,91973.820000000,1932,91973.820000000,0,0,1932,1589
9/7/2020,Each,Concentrate (Each),47622.27,1206,47622.27,0,0,1206,958
10/19/2021,Each,Infused (non-edible),6956.97,206,6956.97,0,0,206,125
3/6/2023,Each,Infused Beverage,5016.42,595,5016.42,0,0,595,253
12/18/2019,Each,Concentrate (Each),64552.4,1682,64552.4,0,0,1682,1321
4/8/2019,Each,Raw Pre-Rolls,301.5,19,301.5,0,0,19,13
3/7/2020,Each,Concentrate (Each),68933.43,1624,68933.43,0,0,1624,1253
10/11/2022,Grams,Concentrate (Bulk),253.5,0,0,7,253.5,7,7
6/30/2021,Grams,Kief,755.2,0,0,40.81,755.2,40.81,29
9/4/2020,Grams,Raw Pre-Rolls,120850.22,0,0,10288.73,120850.22,10288.73,5715
1/15/2020,Grams,Infused Pre-Rolls,1438.22,0,0,68.5,1438.22,68.5,62
7/22/2021,Grams,Shake/Trim (by strain),10864.29,0,0,1966.85,10864.29,1966.85,194
9/10/2022,Grams,Shake/Trim,602.29,0,0,126.6,602.29,126.6,12
11/18/2019,Grams,Concentrate,6034.29,0,0,117,6034.29,117,116
10/31/2020,Grams,Shake/Trim (by strain),11488.74,0,0,1119.1,11488.74,1119.1,339
11/13/2022,Grams,Buds,268980.61,0,0,41995.16,268980.61,41995.16,5836
