SaleDate,PRODUCT_CATEGORY,UNIT_OF_MEASURE,CountBasedTotal,DollarCountBasedTotal,WeightBasedTotal,DollarWeightBasedTotal,Quantity,TOTAL_$,CCC Last Updated
12/9/2022,Buds,Grams,0,0,264336.68,2053620.49,264336.68,2053620.49,09/06/2023
12/6/2021,Infused Pre-Rolls,Grams,0,0,902.89,26915.47,902.89,26915.47,09/06/2023
11/1/2021,Concentrate,Grams,0,0,88,5487.24,88,5487.24,09/06/2023
5/7/2021,Concentrate,Milligrams,0,0,1000,59.95,1000,59.95,09/06/2023
5/22/2022,Concentrate,Milligrams,0,0,8000,346.12,8000,346.12,09/06/2023
11/21/2019,Infused (edible),Each,8738,266819.03,0,0,8738,266819.03,09/06/2023
12/8/2022,Infused Pre-Rolls,Grams,0,0,2108.18,49187.19,2108.18,49187.19,09/06/2023
6/11/2020,Infused (non-edible),Each,223,9476.64,0,0,223,9476.64,09/06/2023
9/18/2022,Infused Beverage,Each,4621,38608.13,0,0,4621,38608.13,09/06/2023
8/19/2023,Immature Plants,Each,23,729.52,0,0,23,729.52,09/06/2023
1/27/2022,Buds,Pounds,0,0,0.08,520,0.08,520,09/06/2023
8/18/2019,Kief,Grams,0,0,60.5,1890.73,60.5,1890.73,09/06/2023
10/9/2020,Raw Pre-Rolls,Grams,0,0,24234.8,375177.95,24234.8,375177.95,09/06/2023
6/11/2023,Immature Plants,Each,15,782,0,0,15,782,09/06/2023
10/29/2019,Kief,Grams,0,0,30,1048.3,30,1048.3,09/06/2023
6/25/2022,Concentrate,Milligrams,0,0,15000,672.88,15000,672.88,09/06/2023
7/29/2023,Infused (edible),Each,36580,706981.48,0,0,36580,706981.48,09/06/2023
6/21/2021,Concentrate,Milligrams,0,0,500,30,500,30,09/06/2023
11/21/2020,Raw Pre-Rolls,Grams,0,0,25356.4,391167.2,25356.4,391167.2,09/06/2023
7/11/2020,Infused (non-edible),Each,396,15864.91,0,0,396,15864.91,09/06/2023
12/19/2021,Infused Pre-Rolls,Grams,0,0,1244.14,36230.9,1244.14,36230.9,09/06/2023
7/19/2020,Kief,Grams,0,0,108,2899.4,108,2899.4,09/06/2023
1/11/2023,Infused Pre-Rolls,Grams,0,0,1920.84,42802.73,1920.84,42802.73,09/06/2023
4/17/2021,Infused Pre-Rolls,Milligrams,0,0,0.01,1754.49,0.01,1754.49,09/06/2023
4/5/2022,Buds,Grams,0,0,115769.17,1334038.21,115769.17,1334038.21,09/06/2023
6/30/2020,Infused (non-edible),Each,278,12616.14,0,0,278,12616.14,09/06/2023
1/4/2022,Raw Pre-Rolls,Milligrams,0,0,6500,86.71,6500,86.71,09/06/2023
2/1/2023,Shake/Trim,Grams,0,0,7531,28631.01,7531,28631.01,09/06/2023
11/21/2022,Infused Pre-Rolls,Grams,0,0,1425.21,33937.33,1425.21,33937.33,09/06/2023
10/2/2021,Infused (edible),Each,32328,768780.16,0,0,32328,768780.16,09/06/2023
9/15/2022,Raw Pre-Rolls,Grams,0,0,64036.5,724297.1,64036.5,724297.1,09/06/2023
12/15/2022,Concentrate,Grams,0,0,367.5,14698.84,367.5,14698.84,09/06/2023
9/5/2021,Vape Product,Each,14271,814090.42,0,0,14271,814090.42,09/06/2023
6/6/2022,Concentrate,Milligrams,0,0,1000,39.74,1000,39.74,09/06/2023
7/14/2022,Concentrate,Milligrams,0,0,25000,947.56,25000,947.56,09/06/2023
11/6/2021,Infused Pre-Rolls,Grams,0,0,1250.65,34599.85,1250.65,34599.85,09/06/2023
7/26/2020,Infused (non-edible),Each,282,11293.96,0,0,282,11293.96,09/06/2023
6/15/2022,Shake/Trim,Ounces,0,0,1.85,225,1.85,225,09/06/2023
6/30/2023,Vape Product,Each,35307,1248171.9,0,0,35307,1248171.9,09/06/2023
8/8/2023,Vape Product,Each,22125,755372.97,0,0,22125,755372.97,09/06/2023
7/13/2023,Buds,Grams,0,0,286286.94,1776039.45,286286.94,1776039.45,09/06/2023
1/20/2022,Shake/Trim,Grams,0,0,527,3575,527,3575,09/06/2023
8/19/2019,Concentrate,Grams,0,0,51.5,5678.97,51.5,5678.97,09/06/2023
6/8/2023,Seeds,Each,4,168,0,0,4,168,09/06/2023
10/22/2022,Buds,Grams,0,0,257009,1868768.51,257009,1868768.51,09/06/2023
12/29/2022,Infused Pre-Rolls,Grams,0,0,2770.59,55027.85,2770.59,55027.85,09/06/2023
11/23/2021,Infused Pre-Rolls,Grams,0,0,1346.71,38922.42,1346.71,38922.42,09/06/2023
9/17/2021,Concentrate,Milligrams,0,0,9000,656,9000,656,09/06/2023
2/8/2022,Raw Pre-Rolls,Grams,0,0,34195.49,460310.94,34195.49,460310.94,09/06/2023
3/28/2021,Infused (edible),Each,18567,482862.56,0,0,18567,482862.56,09/06/2023
2/20/2019,Concentrate (Each),Each,3327,174371.89,0,0,3327,174371.89,09/06/2023
8/12/2019,Suppository,Each,8,128,0,0,8,128,09/06/2023
11/25/2022,Infused Beverage,Each,7423,54435.81,0,0,7441.99,54435.81,09/06/2023
9/20/2019,Buds,Grams,0,0,69221,979575.64,69221,979575.64,09/06/2023
12/20/2020,Concentrate,Grams,0,0,574,38257.73,574,38257.73,09/06/2023
4/14/2019,Infused (edible),Each,5556,152640.74,0,0,5556,152640.74,09/06/2023
4/26/2023,Infused Pre-Rolls,Milligrams,0,0,12000,240,12000,240,09/06/2023
5/6/2022,Kief,Grams,0,0,183,4976.93,183,4976.93,09/06/2023
11/29/2021,Infused Beverage,Each,2805,20626.85,0,0,2805,20626.85,09/06/2023
7/4/2023,Concentrate,Milligrams,0,0,2000,62.5,2000,62.5,09/06/2023
3/22/2023,Raw Pre-Rolls,Grams,0,0,59922.3,591845.06,59922.3,591845.06,09/06/2023
5/11/2022,Infused (edible),Each,22479,481223.23,0,0,22479,481223.23,09/06/2023
7/30/2022,Infused Pre-Rolls,Grams,0,0,2388.17,58565.3,2388.17,58565.3,09/06/2023
8/25/2022,Infused Pre-Rolls,Grams,0,0,2183.39,50341.76,2183.39,50341.76,09/06/2023
11/27/2020,Infused Pre-Rolls,Grams,0,0,530.4,12844.69,530.4,12844.69,09/06/2023
1/30/2019,Concentrate (Each),Each,2338,129190.53,0,0,2338,129190.53,09/06/2023
6/4/2023,Concentrate,Milligrams,0,0,1000,35,1000,35,09/06/2023
9/19/2022,Kief,Grams,0,0,155,3793.46,155,3793.46,09/06/2023
11/16/2021,Suppository,Each,1,100,0,0,1,100,09/06/2023
12/14/2020,Infused Pre-Rolls,Grams,0,0,171.35,4156,171.35,4156,09/06/2023
9/28/2019,Buds,Grams,0,0,70665.3,1024324.98,70665.3,1024324.98,09/06/2023
7/15/2019,Raw Pre-Rolls,Grams,0,0,2210.5,34624.54,2210.5,34624.54,09/06/2023
1/13/2019,Concentrate (Each),Each,2973,165128.83,0,0,2973,165128.83,09/06/2023
11/2/2020,Shake/Trim,Grams,0,0,18,370.5,18,370.5,09/06/2023
4/4/2022,Vape Product,Each,13482,690790.23,0,0,13482,690790.23,09/06/2023
6/14/2019,Infused (non-edible),Each,1693,84937.45,0,0,1693,84937.45,09/06/2023
6/18/2020,Buds,Grams,0,0,64887.81,928967.79,64887.81,928967.79,09/06/2023
10/31/2022,Raw Pre-Rolls,Milligrams,0,0,2000,36,2000,36,09/06/2023
10/21/2021,Concentrate,Milligrams,0,0,1000,100,1000,100,09/06/2023
7/8/2020,Concentrate,Grams,0,0,307.41,21718.43,307.41,21718.43,09/06/2023
