SaleDate,ProductCategoryName,UnitOfMeasureName,CountBasedTotal,DollarCountBasedTotal,WeightBasedTotal,DollarWeightBasedTotal,Quantity,TotalPrice
7/27/2022,Vape Product,Each,4769,168035.36,0,0,4769,168035.36
5/28/2022,Infused (edible),Each,6059,145077.85,0,0,6059,145077.85
12/21/2019,Shake/Trim (by strain),Grams,0,0,287.3,3258.74,287.3,3258.74
8/8/2021,Infused Beverage,Each,652,4757.73,0,0,652,4757.73
4/18/2020,Infused (non-edible),Each,288,8133,0,0,288,8133
5/14/2019,Concentrate (Each),Grams,0,0,1,58.5,1,58.5
7/6/2019,Shake/Trim (by strain),Grams,0,0,176,2114.42,176,2114.42
7/31/2020,Infused (non-edible),Each,273,7963.97,0,0,273,7963.97
3/10/2020,Shake/Trim (by strain),Grams,0,0,112.5,1274.89,112.5,1274.89
5/6/2021,Infused Pre-Rolls,Grams,0,0,272.45,5374.48,272.45,5374.48
1/3/2023,Kief,Grams,0,0,24,417.07,24,417.07
4/23/2021,Kief,Grams,0,0,110.04,1356.93,110.04,1356.93
2/6/2022,Concentrate (Each),Each,1525,54160.52,0,0,1525,54160.52
12/5/2020,Infused Pre-Rolls,Grams,0,0,171.5,3752.55,171.5,3752.55
3/25/2022,Raw Pre-Rolls,Grams,0,0,11712.15,124399.1,11712.15,124399.1
10/30/2020,Concentrate (Each),Each,1575,66782.63,0,0,1575,66782.63
4/18/2022,Immature Plants,Each,5,140.4,0,0,5,140.4
9/18/2022,Infused Beverage,Each,620,5402.31,0,0,620,5402.31
4/16/2019,Infused Pre-Rolls,Each,1,59,0,0,1,59
1/13/2020,Vape Product,Each,904,45094.83,0,0,904,45094.83
6/18/2021,Shake/Trim,Grams,0,0,196,991.07,196,991.07
6/3/2021,Concentrate (Each),Each,1703,71406.86,0,0,1703,71406.86
9/1/2023,Concentrate (Bulk),Grams,0,0,8,303.92,8,303.92
3/11/2021,Concentrate,Grams,0,0,223.08,10987.41,223.08,10987.41
7/9/2019,Infused (edible),Each,2276,64963.51,0,0,2276,64963.51
3/3/2022,Raw Pre-Rolls,Grams,0,0,11309,120214.97,11309,120214.97
3/30/2020,Kief,Grams,0,0,8,184.68,8,184.68
3/24/2019,Infused (edible),Each,649,16233.37,0,0,649,16233.37
11/26/2019,Infused (non-edible),Each,255,8110.33,0,0,255,8110.33
2/29/2020,Concentrate,Grams,0,0,202,9496.41,202,9496.41
